NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n12A-n25A,CA_n12A-n25A,n12,"5, 10, 15",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
CA_n12A-n29A18,-,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
CA_n12A-n30A,CA_n12A-n30A,n12,"5, 10, 15",0
,,n30,"5, 10",
CA_n12A-n41A,-,n12,"5, 10, 15",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n12A-n48A,-,n12,"5, 10, 15",0
,,n48,"10, 15, 20, 30, 40",
CA_n12A-n66A,CA_n12A-n66A,n12,"5, 10, 15",0
,,n66,"5, 10, 15, 20, 40",
,,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n12A-n66(2A),CA_n12A-n66A,n12,"5, 10, 15",0
,,n66,CA_n66(2A)_BCS1,
CA_n12A-n66(3A),CA_n12A-n66A,n12,"5, 10, 15",0
,,n66,CA_n66(3A)_BCS0,
CA_n12A-n71A,-,n12,"5, 10, 15",0
,,n71,"5, 10, 15, 20",
CA_n12A-n77A,"n778, 9CA_n12A-n77A8",n12,"5, 10, 15",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n12A-n77B,CA_n12A-n77A,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77B_BCS 4 and 5,
CA_n12A-n77C,CA_n12A-n77A,n12,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n12A-n77(2A),"n778, 9CA_n12A-n77A8",n12,"5, 10, 15",0
,,n77,CA_n77(2A)_BCS1,
CA_n12A-n78A,CA_n12A-n78A,n12,"5, 10, 15",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n12A-n78(2A),CA_n12A-n78A,n12,"5, 10, 15",0
,,n78,CA_n78(2A)_BCS2,
CA_n13A-n25A,CA_n13A-n25A,n13,"5, 10",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
CA_n13A-n66A,CA_n13A-n66A,n13,"5, 10",0
,,n66,"5, 10, 15, 20, 40",
,,n13,"5, 10,",1
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n13A-n66B,CA_n13A-n66A,n13,"5, 10",0
,,n66,CA_n66B_BCS0,
CA_n13A-n66(2A),CA_n13A-n66A,n13,"5, 10",0
,,n66,CA_n66(2A)_BCS1,
CA_n13A-n77A,"n778, 9CA_n13A-n77A8",n13,"5, 10",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n13A-n77(2A),"n778,9CA_n77(2A)8CA_n13A-n77A8",n13,"5, 10",0
,,n77,CA_n77(2A)_BCS1,
CA_n13A-n77C,"n778,9CA_n77CCA_n13A-n77A8",n13,"5, 10",0
,,n77,CA_n77C_BCS1,
CA_n14A-n29A18,-,n14,n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
CA_n14A-n30A,n148CA_n14A-n30A,n14,"5, 10",0
,,n30,"5, 10",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
CA_n14A-n66A,n148n668CA_n14A-n66A,n14,"5, 10",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n14A-n66(2A),CA_n14A-n66A,n14,"5, 10",0
,,n66,CA_n66(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n14A-n66(3A),CA_n14A-n66A,n14,"5, 10",0
,,n66,CA_n66(3A)_BCS0,
CA_n14A-n77A,"n148n778, 9CA_n14A-n77A8",n14,"5, 10",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n14A-n77(2A),"n778, 9CA_n14A-n77A8",n14,"5, 10",0
,,n77,CA_n77(2A)_BCS1,
,,n14,n14 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n18A-n28A23,CA_n18A-n28A,n18,"5, 10, 15",0
,,n28,"5, 10",
,,n18,n18 channel bandwidths in Table 5.3.5-1,4 and 5
