NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n3A-n5A,CA_n3A-n5A,n3,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n5,"5, 10, 15, 20",
CA_n3(2A)-n5A,-,n3,CA_n3(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
CA_n3A-n7A,n38n78CA_n3A-n7A8,n3,"5, 10, 15, 20, 25, 30",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n3,"5, 10, 15, 20, 25, 30, 40",1
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
CA_n3A-n7B,n78CA_n3A-n7ACA_n7B,n3,"5, 10, 15, 20, 25, 30",0
,,n7,CA_n7B_BCS0,
,,n3,"5, 10, 15, 20, 25, 30, 40",1
,,n7,CA_n7B_BCS0,
CA_n3A-n7(2A),CA_n3A-n7A,n3,"5, 10, 15, 20, 25, 30",0
,,n7,CA_n7(2A)_BCS0,
CA_n3(2A)-n7A,CA_n3A-n7A,n3,CA_n3(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,-,n3,CA_n3(2A)_BCS1,1
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n3(2A)-n7(2A),CA_n3A-n7A,n3,CA_n3(2A)_BCS0,0
,,n7,CA_n7(2A)_BCS0,
CA_n3B-n7A,n78CA_n3A-n7A,n3,CA_n3B_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,n78CA_n3B,n3,CA_n3B_BCS1,1
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
CA_n3B-n7B,n78CA_n3A-n7ACA_n7B,n3,CA_n3B_BCS0,0
,,n7,CA_n7B_BCS0,
,,n3,CA_n3B_BCS 4 and 5,4 and 5
,,n7,CA_n7B_BCS 4 and 5,
,n78CA_n3B,n3,CA_n3B_BCS1,1
,,n7,CA_n7B_BCS0,
CA_n3A-n8A,CA_n3A-n8A,n3,"5, 10, 15, 20, 25, 30",0
,,n8,"5, 10, 15, 20",
,,n3,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n8,"5, 10, 15, 20",
,,n3,See n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n8,See n8 channel bandwidths in Table 5.3.5-1,
CA_n3(2A)-n8A,CA_n3A-n8A,n3,CA_n3(2A)_BCS0,0
,,n8,"5, 10, 15, 20",
CA_n3A-n18A,CA_n3A-n18A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n18,"5, 10, 15",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n18,n18 channel bandwidths in Table 5.3.5-1,
CA_n3A-n20A,n38CA_n3A-n20A8,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n20,"5, 10, 15, 20",
,,n3,n3 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
CA_n3A-n26A,n268CA_n3A-n26A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n26,"5, 10, 15, 20",
CA_n3A-n26(2A),n268CA_n26(2A)CA_n3A-n26A,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,,n26,CA_n26(2A)_BCS0,
