NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n30A-n66A,CA_n30A-n66A,n30,"5, 10",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,See n66 channel bandwidths in Table 5.3.5-1,
CA_n30A-n66(2A),CA_n30A-n66A,n30,"5, 10",0
,,n66,CA_n66(2A)_BCS1,
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n30A-n66(3A),CA_n30A-n66A,n30,"5, 10",0
,,n66,CA_n66(3A)_BCS0,
,,n30,n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(3A)_BCS4 and 5,
CA_n30A-n77A,"n778, 9CA_n30A-n77A8",n30,"5, 10",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n30A-n77(2A),"n778, 9CA_n77(2A)CA_n30A-n77A8",n30,"5, 10",0
,,n77,CA_n77(2A)_BCS1,
,"n778, 9CA_n30A-n77A8",n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n34A-n39A,"n348,9n398CA_n34A-n39A8",n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
CA_n34A-n40A,"n348,9n408,9CA_n34A-n40A8",n34,"5, 10, 15",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
CA_n34A-n41A,"n348,9n418,9CA_n34A-n41A8",n34,"5, 10, 15",0
,,n41,"10, 15, 20, 30 ,40 ,50, 60, 70, 80, 90, 100",
,,n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n34A-n41C,"n348,9n418,9CA_n41CCA_n34A-n41A8CA_n34A-n41C",n34,"5, 10, 15",0
,,n41,CA_n41C_BCS1,
,,n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,CA_n41C_BCS4 and 5,
CA_n34A-n79A,"n348,9n798,9CA_n34A-n79A8",n34,"5, 10, 15",0
,,n79,"40, 50, 60, 80, 100",
,,n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n34A-n79C,"n348,9n798,9CA_n34A-n79A8",n34,"5, 10, 15",0
,,n79,CA_n79C_BCS0,
,"n348,9n798,9CA_n79CCA_n34A-n79A8CA_n34A-n79C",n34,See n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n79,CA_n79C_BCS4 and 5,
CA_n34A-n104A,CA_n34A-n104A,n34,"5, 10, 15",0
,,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n34,n34 channel bandwidths in Table 5.3.5-1,4 and 5
,,n104,n104 channel bandwidths in Table 5.3.5-1,
