NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n7A-n8A,CA_n7A-n8A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n8,"5, 10, 15, 20",
CA_n7(2A)-n8A,CA_n7A-n8A,n7,CA_n7(2A)_BCS0,0
,,n8,"5, 10, 15, 20",
CA_n7A-n12A,CA_n7A-n12A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n12,"5, 10, 15",
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n12,See n12 channel bandwidths in Table 5.3.5-1,
CA_n7A-n20A,n78CA_n7A-n20A8,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,See n20 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25A,CA_n7A-n25A,n7,"5, 10, 15, 20, 25, 30, 40",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
CA_n7A-n25(2A),CA_n7A-n25A,n7,"5, 10, 15, 20, 25, 30, 40",0
,,n25,CA_n25(2A)_BCS0,
CA_n7(2A)-n25A,CA_n7A-n25A,n7,CA_n7(2A)_BCS0,0
,,n25,"5, 10, 15, 20, 25, 30, 40",
CA_n7(2A)-n25(2A),CA_n7A-n25A,n7,CA_n7(2A)_BCS0,0
,,n25,CA_n25(2A)_BCS0,
CA_n7A-n26A,n78n268CA_n7A-n26A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n26,"5, 10, 15, 20",
CA_n7A-n26(2A),n78n268CA_n26(2A)CA_n7A-n26A,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n26,CA_n26(2A)_BCS0,
CA_n7B-n26A,n78n268CA_n7A-n26ACA_n7B,n7,CA_n7B_BCS0,0
,,n26,"5, 10, 15, 20",
CA_n7B-n26(2A),n78n268CA_n7BCA_n26(2A)CA_n7A-n26A,n7,CA_n7B_BCS0,0
,,n26,CA_n26(2A)_BCS0,
CA_n7A-n28A,n78CA_n7A-n28A8,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n28,"5, 10, 15, 20",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
CA_n7B-n28A,n78CA_n7A-n28ACA_n7B,n7,CA_n7B_BCS0,0
,,n28,"5, 10, 15, 20",
CA_n7A-n29A,-,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
CA_n7A-n40A,CA_n7A-n40A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
CA_n7A-n46A,CA_n7A-n46A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,"20, 40, 60, 80",
CA_n7A-n46C,CA_n7A-n46A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46C_BCS0,
CA_n7A-n46D,CA_n7A-n46A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46D_BCS0,
CA_n7A-n46(2A),CA_n7A-n46A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n46,CA_n46(2A)_BCS0,
CA_n7A-n66A,CA_n7A-n66A,n7,"5, 10, 15, 20",0
,,n66,"10, 15, 20, 40",
,,n7,"5, 10, 15, 20, 25, 30, 40",1
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n7A-n66(2A),CA_n7A-n66A,n7,"5, 10, 15, 20, 25, 30, 40",0
,,n66,CA_n66(2A)_BCS1,
CA_n7(2A)-n66A,CA_n7A-n66A,n7,CA_n7(2A)_BCS0,0
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n7(2A)-n66(2A),CA_n7A-n66A,n7,CA_n7(2A)_BCS0,0
,,n66,CA_n66(2A)_BCS1,
CA_n7A-n67A,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n67,"5, 10, 15, 20",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n67,n67 channel bandwidths in Table 5.3.5-1,
CA_n7A-n71A,-,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n71,"5, 10, 15, 20",
,CA_n7A-n71A,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,See n71 channel bandwidths in Table 5.3.5-1,
CA_n7A-n75A,-,n7,"10, 15, 20",0
,,n75,"5, 10, 15, 20",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n7A-n77A,"n778,9CA_n7A-n77A8,13,14",n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n7,n7 channel bandwidths in Table 5.3.5-1,4 and 5
