NR CA configuration,Uplink CA configurationor single uplink carrier 4,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n5A-n7A-n40A-n78A,CA_n5A-n7ACA_n5A-n40ACA_n5A-n78ACA_n7A-n40ACA_n7A-n78ACA_n40A-n78A,n5,"5, 10, 15, 20, 25",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n7A-n40A-n105A,CA_n5A-n7ACA_n5A-n40ACA_n5A-n105ACA_n7A-n40ACA_n7A-n105ACA_n40A-n105A,n5,"5, 10, 15, 20, 25",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
CA_n5A-n7A-n66A-n77A,CA_n5A-n7ACA_n5A-n66ACA_n5A-n77ACA_n7A-n66ACA_n7A-n77ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n7A-n66A-n77(2A),CA_n77(2A)CA_n5A-n7ACA_n5A-n66ACA_n5A-n77ACA_n7A-n66ACA_n7A-n77ACA_n66A-n77A,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n5A-n7A-n66A-n77(3A),CA_n5A-n7ACA_n5A-n66ACA_n5A-n77ACA_n7A-n66ACA_n7A-n77ACA_n66A-n77A,n5,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n66,"5, 10, 15, 20, 30, 40",
,,n77,CA_n77(3A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
,,n66,n66 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n5A-n7A-n78A-n105A,CA_n5A-n7ACA_n5A-n78ACA_n5A-n105ACA_n7A-n78ACA_n7A-n105ACA_n78A-n105A,n5,"5, 10, 15, 20, 25",0
,,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
