NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n1A-n3A-n7A-n28A-n38A-n78A2,-,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n28,"5, 10, 15, 20, 25, 30",
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n3A-n7A-n40A-n78A-n105A,CA_n1A-n3ACA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n1A-n105ACA_n3A-n7ACA_n3A-n40ACA_n3A-n78ACA_n3A-n105ACA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n1,"5, 10,15, 20, 25, 30, 40, 50",0
,,n3,"5, 10,15, 20, 25, 30, 40, 50",
,,n7,"5, 10,15, 20, 25, 30, 40, 50",
,,n40,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10,15, 20, 25, 30, 35",
CA_n1A-n3A-n20A-n41A-n71A-n78A,CA_n1A-n3ACA_n1A-n20ACA_n1A-n41ACA_n1A-n71ACA_n1A-n78ACA_n3A-n20ACA_n3A-n41ACA_n3A-n71ACA_n3A-n78ACA_n20A-n41ACA_n20A-n71ACA_n20A-n78ACA_n41A-n71ACA_n41A-n78ACA_n71A-n78A,n1,"5, 10,15, 20, 25, 30, 40, 45, 50",0
,,n3,"5, 10,15, 20, 25, 30, 35, 40, 45, 50",
,,n20,"5, 10,15, 20",
,,n41,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",
,,n71,"5, 10,15, 20, 25, 30, 35",
,,n78,"10,15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n1A-n5A-n7A-n40A-n78A-n105A,CA_n1A-n5ACA_n1A-n7ACA_n1A-n40ACA_n1A-n78ACA_n1A-n105ACA_n5A-n7ACA_n5A-n40ACA_n5A-n78ACA_n5A-n105ACA_n7A-n40ACA_n7A-n78ACA_n7A-n105ACA_n40A-n78ACA_n40A-n105ACA_n78A-n105A,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n5,"5, 10, 15, 20, 25",
,,n7,"5, 10,15, 20, 25, 30, 35, 40, 50",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n105,"5, 10, 15, 20, 25, 30, 35",
"NOTE 1: For each channel bandwidth of each component carrier, refer to Table 5.3.5-1 of TS 38.101-1 and TS 38.101-2 for the applicable SCSs for NR FR1 and NR FR2 bands respectively. For a given band, not all UE channel bandwidths support the same SCSs.NOTE 2:For a band combination which includes band n7 and n38 simultaneously, carriers in band n7 and n38 can only be configured as downlink carriers. Power imbalance between downlink carriers on Band n7 and Band n38 is assumed to be within 6dB.",,,,
