NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n5A-n7A,CA_n5A-n7A,n5,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n7,n7 channel bandwidths in Table 5.3.5-1,
CA_n5A-n7B,CA_n5A-n7ACA_n7B,n5,"5, 10, 15, 20",0
,,n7,CA_n7B_BCS0,
CA_n5A-n8A,"n5A15, CA_n5A-n8A19",n5,"5, 10",0
,,n8,"5, 10",
CA_n5A-n12A,CA_n5A-n12A,n5,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
CA_n5B-n12A,CA_n5A-n12ACA_n5B,n5,CA_n5B_BCS0,0
,,n12,"5, 10, 15",
CA_n5A-n13A,CA_n5A-n13A,n5,"5, 10, 15, 20",4 and 5
,,n13,"5, 10",
CA_n5B-n13A,CA_n5A-n13A,n5,CA_n5B_BCS0,0
,,n13,"5, 10",
CA_n5A-n14A,CA_n5A-n14A,n5,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,n14 channel bandwidths in Table 5.3.5-1,
CA_n5B-n14A,CA_n5A-n14ACA_n5B,n5,CA_n5B_BCS0,0
,,n14,"5, 10",
CA_n5A-n25A,CA_n5A-n25A,n5,"5, 10, 15, 20",0
,,n25,"5, 10, 15, 20, 25, 30, 40",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n25,n25 channel bandwidths in Table 5.3.5-1,
CA_n5A-n25(2A),CA_n5A-n25A,n5,"5, 10, 15, 20",0
,,n25,CA_n25(2A)_BCS0,
CA_n5A-n28A,CA_n5A-n28A,n5,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20, 30",
,,n5,"5, 10, 15, 20",1
,,n28,"5, 10, 15, 20, 25, 30",
CA_n5A-n29A17,-,n5,"5, 10, 15, 20",0
,,n29,"5, 10",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n29,n29 channel bandwidths in Table 5.3.5-1,
CA_n5B-n29A,CA_n5B,n5,CA_n5B_BCS0,0
,,n29,"5, 10",
CA_n5A-n30A,CA_n5A-n30A,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,n30 channel bandwidths in Table 5.3.5-1,
CA_n5A-n40A,CA_n5A-n40A,n5,"5, 10, 15, 20, 251",0
,,n40,"55, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80,90,100",
CA_n5A-n41A,CA_n5A-n41A,n5,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,n41 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48A,CA_n5A-n48A,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
,,n5,"5, 10, 15, 20",1
,,n48,"5, 10, 15, 20, 30, 40, 506, 606, 706, 806, 906, 1006",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n5A-n48(2A),CA_n5A-n48A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(2A)_BCS0,
,,n5,"5, 10, 15, 20",1
,,n48,CA_n48(2A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48(2A)_BCS 4 and 5,
CA_n5A-n48B,CA_n48BCA_n5A-n48A,n5,"5, 10, 15, 20",0
,,n48,CA_n48B_BCS0,
,,n5,"5, 10, 15, 20",1
,,n48,CA_n48B_BCS2,
,CA_n48BCA_n5A-n48ACA_n5A-n48B,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48B_BCS 4 and 5,
CA_n5A-n48C,CA_n5A-n48A,n5,"5, 10, 15, 20",0
,,n48,CA_n48C_BCS0,
CA_n5A-n48(A-B),CA_n5A-n48A,n5,"5, 10, 15, 20",0
,,n48,CA_n48(A-B)_BCS0,
,,n5,"5, 10, 15, 20",1
,,n48,CA_n48(A-B)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,CA_n48(A-B)_BCS 4 and 5,
CA_n5B-n48A,CA_n5BCA_n5A-n48ACA_n5B-n48A,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n5B-n48B,CA_n5BCA_n48BCA_n5A-n48ACA_n5A-n48B,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,CA_n48B_BCS 4 and 5,
CA_n5B-n48(2A),CA_n5BCA_n5A-n48A,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n48,CA_n48(2A)_BCS 4 and 5,
CA_n5A-n66A,n668CA_n5A-n66A,n5,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 40",
,,n5,"5, 10, 15, 20",1
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n5A-n66B,CA_n5A-n66A,n5,"5, 10, 15, 20",0
,,n66,CA_n66B_BCS0,
CA_n5B-n66A,CA_n5A-n66ACA_n5B,n5,CA_n5B_BCS0,0
,,n66,"5, 10, 15, 20, 25, 30, 40",
,,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n66,n66 channel bandwidths in Table 5.3.5-1,
CA_n5B-n66B,CA_n5A-n66A,n5,CA_n5B_BCS0,0
,,n66,CA_n66B_BCS0,
CA_n5A-n66(2A),CA_n5A-n66A,n5,"5, 10, 15, 20",0
,,n66,CA_n66(2A)_BCS0,
,,n5,"5, 10, 15, 20",1
,,n66,CA_n66(2A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n5A-n66(3A),CA_n5A-n66A,n5,"5, 10, 15, 20",0
,,n66,CA_n66(3A)_BCS0,
CA_n5B-n66(2A),CA_n5A-n66ACA_n5B,n5,CA_n5B_BCS0,0
,,n66,CA_n66(2A)_BCS1,
,,n5,CA_n5B_BCS 4 and 5,4 and 5
,,n66,CA_n66(2A)_BCS 4 and 5,
CA_n5A-n71A,-,n5,"5, 10, 15, 20",0
,,n71,"5, 10, 15, 20",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n71,n71 channel bandwidths in Table 5.3.5-1,
CA_n5A-n77A,"n778,9CA_n5A-n77A8,13,14",n5,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5A-n77B,"CA_n5A-n77An778,9",n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77B_BCS 4 and 5,
CA_n5A-n77(2A),"n778,9CA_n5A-n77A8CA_n77(2A)8",n5,"5, 10, 15, 20",0
,,n77,CA_n77(2A)_BCS0,
,,n5,"5, 10, 15, 20",1
,,n77,CA_n77(2A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(2A)_BCS4 and 5,
CA_n5A-n77(3A),"n778,9CA_n77(2A)8CA_n5A-n77A8",n5,"5, 10, 15, 20",0
,,n77,CA_n77(3A)_BCS0,
,,n5,"5, 10, 15, 20",1
,,n77,CA_n77(3A)_BCS1,
,,n5,n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77(3A)_BCS4 and 5,
CA_n5(2A)-n77A,"n778,9CA_n5A-n77A8",n5,CA_n5(2A)_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n5A-n77C,"n778,9CA_n5A-n77A8,13,14CA_n77C8,9",n5,"5, 10, 15, 20",0
,,n77,CA_n77C_BCS0,
,,n5,"5, 10, 15, 20",1
,,n77,CA_n77C_BCS1,
,"n778,9CA_n5A-n77A8,13,14CA_n77C8,9CA_n5A-n77C",n5,See n5 channel bandwidths in Table 5.3.5-1,4 and 5
,,n77,CA_n77C_BCS 4 and 5,
CA_n5(2A)-n77C,"n778,9CA_n77CCA_n5A-n77A8",n5,CA_n5(2A)_BCS0,0
,,n77,CA_n77C_BCS0,
,,n5,CA_n5(2A)_BCS0,1
,,n77,CA_n77C_BCS1,
CA_n5B-n77A,"n778,9CA_n5A-n77A8,13,14CA_n5B",n5,CA_n5B_BCS0,0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,"n778,9CA_n5A-n77A8,13,14CA_n5B",n5,CA_n5B_BCS 4 and 5,4 and 5
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n5B-n77C,"n778,9CA_n5A-n77A8,13,14CA_n5BCA_n77C8,9",n5,CA_n5B_BCS0,0
,,n77,CA_n77C_BCS0,
,,n5,CA_n5B_BCS0,1
,,n77,CA_n77C_BCS1,
,"n778,9CA_n5A-n77A8,13,14CA_n5BCA_n77C8,9CA_n5A-n77C",n5,CA_n5B_BCS 4 and 5,4 and 5
