NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n26A-n28A,CA_n26A-n28A16,n26,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n26,"5, 10, 15, 20, 25, 30",1
,,n28,"5, 10, 15, 20, 25, 30",
CA_n26A-n29A,-,n26,"5, 10, 15, 20, 25, 30",0
,,n29,"5, 10",
CA_n26A-n48A,CA_n26A-n48A,n26,"5, 10, 15, 20, 25, 30",0
,,n48,"5, 10, 15, 20, 30, 40, 506, 606, 706, 806, 906, 1006",
CA_n26A-n48(2A),CA_n26A-n48A,n26,"5, 10, 15, 20, 25, 30",0
,,n48,CA_n48(2A)_BCS0,
CA_n26A-n66A,CA_n26A-n66A,n26,"5, 10, 15, 20",0
,,n66,"5, 10, 15, 20, 25, 30, 40",
CA_n26A-n66(2A),CA_n26A-n66A,n26,"5, 10, 15, 20",0
,,n66,CA_n66(2A)_BCS0,
CA_n26A-n66(3A),-,n26,"5, 10, 15, 20",0
,,n66,CA_n66(3A)_BCS0,
CA_n26A-n70A,CA_n26A-n70A,n26,"5, 10, 15, 20",0
,,n70,"5, 10, 15, 201, 251",
CA_n26A-n71A,-,n26,"5, 10, 15, 20",0
,,n71,"5, 10, 15, 20",
CA_n26A-n77A,CA_n26A-n77A,n26,"5, 10, 15, 20",0
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n26A-n78A,"n268n788,9CA_n26A-n78A8,13,14",n26,"5, 10, 15, 20",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n26A-n78C,"n268n788,9CA_n26A-n78A8,13,14CA_n78C8",n26,"5, 10, 15, 20",0
,,n78,CA_n78C_BCS0,
CA_n26A-n78(A-C),CA_n78CCA_n26A-n78A,n26,"5, 10, 15, 20, 25, 30",0
,,n78,CA_n78(A-C)_BCS1,
CA_n26(2A)-n78A,"n268n788,9CA_n26(2A)CA_n26A-n78A8,13,14",n26,CA_n26(2A)_BCS0,0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
