NR CA configuration,Uplink CA configurationor single uplink carrier6,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n8A-n20A-n28A,CA_n8A-n20A,n8,"5, 10, 15, 20",0
,CA_n8A-n28A,n20,"5, 10, 15, 20",
,CA_n20A-n28A,n28,"5, 10, 15, 20, 25, 30",
CA_n8A-n20A-n75A,CA_n8A-n20A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n20,n20 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n8A-n28A-n40A,CA_n8A-n28ACA_n8A-n40ACA_n28A-n40A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n40,n40  channel bandwidths in Table 5.3.5-1,
CA_n8A-n28A-n75A,CA_n8A-n28A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n75,n75 channel bandwidths in Table 5.3.5-1,
CA_n8A-n28A-n77A,CA_n8A-n28ACA_n8A-n77ACA_n28A-n77A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,n77 channel bandwidths in Table 5.3.5-1,
CA_n8A-n28A-n77(2A),CA_n8A-n28ACA_n8A-n77ACA_n28A-n77A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n8A-n28A-n78A,CA_n8A-n28ACA_n8A-n78ACA_n28A-n78A,n8,"5, 10, 15, 20",0
,,n28,"5, 10, 15, 20",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n8A-n28A-n79A,CA_n8A-n28ACA_n8A-n79ACA_n28A-n79A,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n28,n28 channel bandwidths in Table 5.3.5-1,
,,n79,n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n38A-n40A,-,n8,"5, 10, 15, 20",0
,,n38,"5, 10, 15, 20, 25, 30, 40",
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n8A-n39A-n40A,CA_n8A-n39ACA_n8A-n40ACA_n39A-n40A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
CA_n8A-n39A-n41A,CA_n8A-n39ACA_n8A-n41ACA_n39A-n41A,n8,"5, 10, 15, 20",0
,,n39,"5, 10, 15, 20, 25, 30, 40",
,,n41,"10, 15, 20, 40, 50, 60, 80, 100",
,-,n8,"5, 10, 15, 20",1
,,n39,"5, 10, 15, 20, 25, 30, 40",
,,n41,"10, 15, 20, 40, 50, 60",
,CA_n8A-n39ACA_n8A-n41ACA_n39A-n41A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n8A-n39A-n41C,CA_n8A-n39ACA_n8A-n41ACA_n39A-n41A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
,,n41,CA_n41C_BCS 4 and 5,
CA_n8A-n39A-n79A,CA_n8A-n39ACA_n8A-n79ACA_n39A-n79A,n8,"5, 10, 15, 20",0
,,n39,"5, 10, 15, 20, 25, 30, 40",
,,n79,"40, 50, 60, 80, 100",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n39,See n39 channel bandwidths in Table 5.3.5-1,
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n40A-n41A,CA_n8A-n40ACA_n8A-n41ACA_n40A-n41A,n8,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
CA_n8A-n40A-n41C,CA_n41CCA_n8A-n40ACA_n8A-n41ACA_n40A-n41A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
,,n41,CA_n41C_BCS4 and 5,
CA_n8A-n40A-n78A,CA_n8A-n40ACA_n8A-n78ACA_n40A-n78A,n8,"5, 10, 15, 20",0
,,n40,"5, 10, 15, 20, 30, 40, 50, 60, 80",
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n8,n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,n40 channel bandwidths in Table 5.3.5-1,
,,n78,n78 channel bandwidths in Table 5.3.5-1,
CA_n8A-n40A-n77A,CA_n8A-n40ACA_n8A-n77ACA_n40A-n77A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
,,n77,See n77 channel bandwidths in Table 5.3.5-1,
CA_n8A-n40A-n77(2A),CA_n8A-n40ACA_n8A-n77ACA_n40A-n77A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
,,n77,CA_n77(2A)_BCS 4 and 5,
CA_n8A-n40A-n79A,CA_n8A-n40ACA_n8A-n79ACA_n40A-n79A,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n40,See n40 channel bandwidths in Table 5.3.5-1,
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
CA_n8A-n41A-n78A,CA_n8A-n41ACA_n8A-n78ACA_n41A-n78A,n8,"5, 10, 15, 20",4 and 5
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",
,,n78,"10,15,20,25,30,40,50,60,70,80,90,100",
CA_n8A-n41A-n78C,CA_n78CCA_n8A-n41ACA_n8A-n78ACA_n8A-n78CCA_n41A-n78ACA_n41A-n78C,n8,"5, 10, 15, 20",4 and 5
,,n41,"5,10,15,20,25,30,35,40,45,50,60,70,80,90,100",
,,n78,CA_n78C_BCS 4 and 5,
CA_n8A-n41A-n79A,CA_n8A-n41ACA_n8A-n79ACA_n41A-n79A,n8,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 100",
,,n79,"40, 50, 60, 80, 100",
,,n8,"5, 10, 15, 20",1
,,n41,"10, 15, 20, 40, 50, 60",
,,n79,"40, 50, 60, 80, 100",
,,n8,See n8 channel bandwidths in Table 5.3.5-1,4 and 5
,,n41,See n41 channel bandwidths in Table 5.3.5-1,
,,n79,See n79 channel bandwidths in Table 5.3.5-1,
