NR CA configuration,Uplink CA configuration or single uplink carrier10,NR Band,Channel bandwidth (MHz) (NOTE 3),Bandwidth combination set
CA_n2A-n5A,n28CA_n2A-n5A,n2,"5, 10, 15, 20",0
,,n5,"5, 10, 15, 20",
,CA_n2A-n5A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,n5 channel bandwidths in Table 5.3.5-1,
CA_n2A-n5B,CA_n2A-n5ACA_n5B,n2,"5, 10, 15, 20",0
,,n5,CA_n5B_BCS0,
,,n2,See n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n5,CA_n5B_BCS 4 and 5,
CA_n2(2A)-n5A,CA_n2A-n5A,n2,CA_n2(2A)_BCS0,0
,,n5,"5, 10, 15, 20",
,,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n5,See n5 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n5B,CA_n2A-n5ACA_n5B,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n5,CA_n5B_BCS 4 and 5,
CA_n2A-n7A,CA_n2A-n7A,n2,"5, 10, 15, 20",0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n2A-n7(2A),CA_n2A-n7A,n2,"5, 10, 15, 20",0
,,n7,CA_n7(2A)_BCS0,
CA_n2(2A)-n7A,CA_n2A-n7A,n2,CA_n2(2A)_BCS0,0
,,n7,"5, 10, 15, 20, 25, 30, 40, 50",
CA_n2A-n12A,CA_n2A-n12A,n2,"5, 10, 15, 20",0
,,n12,"5, 10, 15",
CA_n2(2A)-n12A,CA_n2A-n12A,n2,CA_n2(2A)_BCS0,0
,,n12,"5, 10, 15",
CA_n2A-n14A,n28n148CA_n2A-n14A,n2,"5, 10, 15, 20",0
,,n14,"5, 10",
,,n2,See n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n14,See n14 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n14A,CA_n2A-n14A,n2,CA_n2(2A)_BCS0,0
,,n14,"5, 10",
,,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n14,See n14 channel bandwidths in Table 5.3.5-1,
CA_n2A-n29A,-,n2,"5, 10, 15, 20",0
,,n29,"5, 10",
CA_n2(2A)-n29A,-,n2,CA_n2(2A)_BCS0,0
,,n29,"5, 10",
CA_n2A-n30A,CA_n2A-n30A,n2,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n2,See n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n30,See n30 channel bandwidths in Table 5.3.5-1,
CA_n2(2A)-n30A,CA_n2A-n30A,n2,CA_n2(2A)_BCS0,0
,,n30,"5, 10",
,,n2,CA_n2(2A)_BCS 4 and 5,4 and 5
,,n30,See n30 channel bandwidths in Table 5.3.5-1,
CA_n2A-n38A,-,n2,"5, 10, 15, 20",0
,,n38,"5, 10, 15, 20, 40",
CA_n2A-n41A,CA_n2A-n41A,n2,"5, 10, 15, 20",0
,,n41,"10, 15, 20, 40, 50, 60, 80, 90, 100",
CA_n2(2A)-n41A,CA_n2A-n41A,n2,CA_n2(2A)_BCS0,0
,,n41,"10, 15, 20, 30, 40, 50, 60, 70, 80, 90, 100",
CA_n2A-n48A,CA_n2A-n48A,n2,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 506, 606, 806, 906, 1006",
,,n2,"5, 10, 15, 20",1
,,n48,"5, 10, 15, 20, 30, 40, 506, 606, 706, 806, 906, 1006",
,n28CA_n2A-n48A,n2,n2 channel bandwidths in Table 5.3.5-1,4 and 5
,,n48,n48 channel bandwidths in Table 5.3.5-1,
CA_n2A-n48B,CA_n48BCA_n2A-n48A,n2,"5, 10, 15, 20",0
,,n48,CA_n48B_BCS0,
,,n2,"5, 10, 15, 20",1
,,n48,CA_n48B_BCS2,
