Parameter,,Unit,Test 1,,Test 2,,
,,,Cell 1,Cell 2,Cell 1,Cell 2,
BWchannel,,,"100:NPRB,c = 24",,"100:NPRB,c = 24",,
Gap pattern ID,,,0,,0,,
Duplex mode,,,TDD,TDD,TDD,TDD,
TDD configuration,,,TDDConf.3.1,,TDDConf.3.1,,
PDSCH Reference measurement channel,,,SR.3.1 TDD,-,SR.3.1 TDD,-,
RMSI CORESET Reference Channel,,,CR.3.1 TDD,-,CR.3.1 TDD,-,
Dedicated CORESET Reference Channel,,,CCR.3.1 TDD,-,CCR.3.1 TDD,-,
SSB configuration,,,SSB.3 FR2,,SSB.3 FR2,,
SMTC configuration,,,SMTC.1,,SMTC.1,,
OCNG Patterns,,,OP.3,,OP.3,,
Initial BWP Configuration,,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,,
Dedicated BWP configuration,,,DLBWP.1.3ULBWP.1.3,,DLBWP.1.3ULBWP.1.3,,
TRS Configuration,,,TRS.2.1 TDD,,TRS.2.1 TDD,,
PDCCH/PDSCH TCI Configuration,,,TCI.State.2,,TCI.State.2,,
CSI-RS configuration for RRM,,,CSI-RS.RRM.FR2.1 TDD,,CSI-RS.RRM.FR2.1 TDD,,
Time offset between Cell 2 and Cell 3,,s,0.58,,0.58,,
EPRE ratio of PSS to SSS,,dB,0,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,
Propagation condition,,-,AWGN,AWGN,AWGN,AWGN,
Antenna configuration,,-,1x2,1x2,1x2,1x2,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,,,,
