Parameter,,Unit,Cell 1,,Cell 2,,
,,,T1,T2,T1,T2,
AoA setup,,,Setup 3 as specified in clause A.3.15.3,,,,
,,,AoA1,,AoA2,,
Beam AssumptionNote 1,,,Rough,,Rough,,
NR RF Channel Number,,,1,,2,,
Duplex mode,,,TDD,,TDD,,
TDD configuration,,,TDDConf.3.1,,TDDConf.3.1,,
BWchannel,,MHz,"100: NPRB,c = 66",,"100: NPRB,c = 66",,
Data PRBs allocated,,,66,,66,,
BWP BW,,MHz,"100: NPRB,c = 66",,"100: NPRB,c = 66",,
BWP configuration,Initial DL BWP,,DLBWP.0.1,,N/A,,
,Initial UL BWP,,ULBWP.0.1,,N/A,,
,Dedicated DL BWP,,DLBWP.1.1,,N/A,,
,Dedicated UL BWP,,ULBWP.1.1,,N/A,,
OCNG Patterns defined in A.3.2.1.1,,,OP.1,,OP.1,,
PDSCH Reference measurement channel,,,SR.3.1 TDD,,-,,
CORESET Reference Channel,,,CR.3.1 TDD,,-,,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,,SMTC.1,,SMTC.1,,
PDSCH/PDCCH subcarrier spacing,,kHz,120,,120,,
TRS configuration,,,TRS.2.1 TDD,,N/A,,
PDSCH/PDCCH TCI state,,,TCI.State.2,,N/A,,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,0,,0,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS,,,,,,,
EPRE ratio of OCNG to OCNG DMRS,,,,,,,
Ês,,dBm/SCS,-87,-87,-Infinity,-87,
SSB_RP,,dBm/SCS,-87,-87,-Infinity,-87,
BB Note 2,,dB,1.89,1.89,-Infinity,1.89,
Io,,dBm/95.04 MHz,-58.01,-58.01,-Infinity,-58.01,
Propagation Condition,,,AWGN,,AWGN 19444 Hz Note 3,,
"NOTE 1:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 2:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 3:The AWGN 19444 Hz condition is a non fading propagation channel with one tap. Doppler shift is a constant 19444 Hz.",,,,,,,
