Parameter,,Unit,Test configuration,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
AoA setup,,,"Config 1,2,3,4,5,6,7,8,9",NA,,Setup 1 as specified in clause A.3.15,
NR RF Channel Number,,,"Config 1,2,3,4,5,6,7,8,9",1,,2,
Duplex mode,,,"Config 1,4,7",FDD,,TDD,
,,,"Config 2,3,5,6,8,9",TDD,,TDD,
TDD configuration,,,"Config 1,4,7",Not Applicable,,TDDConf.3.1,
,,,"Config 2,5,8",TDDConf.1.1,,TDDConf.3.1,
,,,"Config 3,6,9",TDDConf.2.1,,TDDConf.3.1,
BWchannel,,MHz,Config 1,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 2,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 3,"40: NPRB,c = 106",,"100: NPRB,c = 66",
,,,Config 4,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 5,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 6,"40: NPRB,c = 106",,"400: NPRB,c = 66",
,,,Config 7,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 8,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 9,"40: NPRB,c = 106",,"400: NPRB,c = 33",
Data PRBs allocated,,,Config 1,52,,66,
,,,Config 2,52,,66,
,,,Config 3,106,,66,
,,,Config 4,52,,66,
,,,Config 5,52,,66,
,,,Config 6,106,,66,
,,,Config 7,52,,33,
,,,Config 8,52,,33,
,,,Config 9,106,,33,
BWP BW,,MHz,Config 1,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 2,"10: NPRB,c = 52",,"100: NPRB,c = 66",
,,,Config 3,"40: NPRB,c = 106",,"100: NPRB,c = 66",
,,,Config 4,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 5,"10: NPRB,c = 52",,"400: NPRB,c = 66",
,,,Config 6,"40: NPRB,c = 106",,"400: NPRB,c = 66",
,,,Config 7,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 8,"10: NPRB,c = 52",,"400: NPRB,c = 33",
,,,Config 9,"40: NPRB,c = 106",,"400: NPRB,c = 33",
BWP configuration,Initial DL BWP,,"Config 1,2,3,4,5,6,7,8,9",DLBWP.0.1,,N/A,
,Initial UL BWP,,,ULBWP.0.1,,N/A,
,Dedicated DL BWP,,,DLBWP.1.1,,N/A,
,Dedicated UL BWP,,,ULBWP.1.1,,N/A,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,,"Config 1,2,3,4,5,6,7,8,9",OP.1,,OP.1,
PDSCH Reference measurement channel,,,"Config 1,4,7",SR.1.1 FDD,,-,
,,,"Config 2,5,8",SR.1.1 TDD,,,
,,,"Config 3,6,9",SR.2.1 TDD,,,
RMSI CORESET Reference Channel,,,"Config 1,4,7",CR.1.1 FDD,,-,
,,,"Config 2,5,8",CR.1.1 TDD,,,
,,,"Config 3,6,9",CR.2.1 TDD,,,
Dedicated CORESET RMC configuration,,,"Config 1,4,7",CCR.1.1 FDD,,-,
,,,"Config 2,5,8",CCR.1.1 TDD,,,
,,,"Config 3,6,9",CCR.2.1 TDD,,,
SMTC configuration defined in A.3.11.1 and A.3.11.2,,,"Config 1,4,7",SMTC.2,,SMTC.2,
,,,"Config 2,3,5,6,8,9",SMTC.1,,SMTC.1,
PDSCH/PDCCH subcarrier spacing,,kHz,"Config 1,2,4,5,7,8",15,,120,
,,,"Config 3,6,9",30,,120,
EPRE ratio of PSS to SSS,,,"Config 1,2,3,4,5,6,7,8,9",0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15 kHz Note 5,,"NALink only, see clause A.3.7A",,-104.7,
Note2,,dBm/SCS Note 4,"Config 1,2,3",,,-95.7,
,,,"Config 4,5,6",,,-89.7,
,,,"Config 7,8,9",,,-86.7,
SSB_RP Note 3,,dBm/SCS Note 5,"Config 1,2,3",,,-Infinity,-86.7
,,,"Config 4,5,6",,,-Infinity,-80.7
,,,"Config 7,8,9",,,-Infinity,-77.7
,,dB,"Config 1,2,3,4,5,6,7,8,9",,,-Infinity,9
,,dB,"Config 1,2,3,4,5,6,7,8,9",,,-Infinity,9
IoNote3,,dBm/95.04 MHz Note 5,"Config 1,2,3,4,5,6,7,8,9",,,-66.7,-57.2
,,,,,,,
,,,,,,,
Propagation Condition,,,"Config 1,2,3,4,5,6,7,8,9",AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SSB_RP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zone,,,,,,,
