Parameter,,Unit,Test configuration,Cell 1,,Cell 2,
SMTC configuration defined,,,"Config 1,4,7",SMTC.2,,SMTC.2,
in A.3.11.1 and A.3.11.2,,,"Config 2,3,5,6,8,9",SMTC.1,,SMTC.1,
PDSCH/PDCCH subcarrier spacing,,kHz,"Config 1,2,4,5,7,8",15,,120,
,,,"Config 3,6,9",30,,120,
EPRE ratio of PSS to SSS,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,"Config 1,2,3,4,5,6,7,8,9",0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Ês,,dBm/SCS,"Config 1,2,3",,,-Infinity,-87
,,,"Config 4,5,6",,,-Infinity,-81
,,,"Config 7,8,9",,,-Infinity,-78
SSB_RP Note 3,,dBm/SCSNote 5,"Config 1,2,3",,,-Infinity,-87
,,,"Config 4,5,6",,,-Infinity,-81
,,,"Config 7,8,9",,,-Infinity,-78
BB Note 8,,dB,"Config 1,2,3,4,5,6,7,8,9","NALink only, see clause",,-Infinity,14.69
,,dBm/95.04 MHz Note 5,"Config 1,2,3,4,5,6,7,8,9",A.3.7A,,-Infinity,-58.01
Propagation Condition,,,"Config 1,2,3,4,5,6,7,8,9",,,No external noise (Note 9),
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:VoidNOTE 3:SS B_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:VoidNOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 8:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 9:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,,,,
