Parameter,Unit,Test configuration,Value,Comment
Reference cell,,1,Cell 1,
Neighbour cell,,1,Cell 2,
RF Channel Number,,1,1,For Cell 1 and Cell 2
BWchannel,MHz,1,"200: NRB,c = 132",
SSB configuration,,1,SSB.3 FR2,
SMTC configuration,,1,SMTC.1,
CP length,,1,Normal,
DRX,s,1,0.64,
eDRX cycle length,s,1,40.96,
PTW length,s,1,1.28,
Reporting periodicity,s,1,20,reportingInterval for periodic reporting defined in TS 37.355 [34].
Time offset between serving and neighbour cell,s,1,3,Synchronous cells
Expected RSTD,s,1,3,
Expected RSTD uncertainty,s,1,5,
