Parameter,Config,Unit,Test 1,,Test 2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
SSB ARFCN,1~3,,freq1,freq2,freq1,freq2
BWchannel,1,MHz,"10:NPRB,c = 52","100:NPRB,c = 66","10:NPRB,c = 52","100:NPRB,c = 66"
,2,,"10:NPRB,c = 52",,"10:NPRB,c = 52",
,3,,"40:NPRB,c = 106",,"40:NPRB,c = 106",
Data PRBs allocated,"1,2",,52,24,52,66
,3,,106,,106,
Duplex mode,1,,FDD,TDD,FDD,TDD
,2,,TDD,,TDD,
,3,,TDD,,TDD,
TDD configuration,1,,N/A,TDDConf.3.1,N/A,TDDConf.3.1
,2,,TDDConf.1.1,,TDDConf.1.1,
,3,,TDDConf.2.1,,TDDConf.2.1,
PDSCH Reference measurement channel,1,,SR.1.1 FDD,-,SR.1.1 FDD,-
,2,,SR.1.1 TDD,,SR.1.1 TDD,
,3,,SR.2.1 FDD,,SR.2.1 FDD,
RMSI CORESET Reference Channel,1,,CR.1.1 FDD,-,CR.1.1 FDD,-
,2,,CR.1.1 TDD,-,CR.1.1 TDD,-
,3,,CR.2.1 FDD,-,CR.2.1 FDD,-
Dedicated CORESET Reference Channel,1,,CCR.1.1 FDD,-,CCR.1.1 FDD,-
,2,,CCR.1.1 TDD,-,CCR.1.1 TDD,-
,3,,CCR.2.1 TDD,-,CCR.2.1 TDD,-
SSB configuration,1,,SSB.1 FR1,SSB.3 FR2,SSB.1 FR1,SSB.3 FR2
,2,,SSB.1 FR1,,SSB.1 FR1,
,3,,SSB.2 FR1,,SSB.2 FR1,
OCNG Patterns,1~3,,OP.1,OP.3,OP.1,OP.1
Initial BWP Configuration,1~3,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Dedicated BWP configuration,1~3,,DLBWP.1.3ULBWP.1.3,,DLBWP.1.3ULBWP.1.3,
TRS Configuration,1~3,,TRS.2.1 TDD,,TRS.2.1 TDD,
PDCCH/PDSCH TCI Configuration,1~3,,TCI.State.2,,TCI.State.2,
SMTC configuration,1~3,,SMTC.1,,SMTC.1,
Time offset between Cell 2 and Cell 1,1~3,s,3,,3,
EPRE ratio of PSS to SSS,1~3,dB,0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
Propagation condition,1~3,-,"NALink only, see clause A.3.7A",AWGN,"NALink only, see clause A.3.7A",AWGN
Antenna configuration,1~3,-,,1x2,,1x2
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Void,,,,,,
