Parameter,Unit,Config,Value,Comment
Active cell,,"1, 2",PCell (Cell 1),
Neighbour cell,,"1, 2",Cell 2,Cell to be identified
RF Channel Number,,"1, 2",1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells
Gap type,,"1, 2",Per-UE gaps,
Measurement gap repitition periodicity,ms,"1, 2",40,
Measurement gap length,ms,"1, 2",6,
Measurement gap offset,ms,"1, 2",39,
SMTC configuration,,"1, 2",SMTC.1,
CSI-RS parameters,,"1, 2",CSI-RS.3.2 TDD resource #0,Resource #1 is not used
A3-Offset,dB,"1, 2",-11,
CP length,,"1, 2",Normal,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,,"1, 2",OFF,
Time offset between Cell 1 and Cell 2,,"1, 2",3 s,Synchronous cells
T1,s,"1, 2",5,
T2,s,"1, 2",5,
