Parameter,Unit,Config,Value,Comment
Active cell,,"1, 2",PCell (Cell 1)SCell 1 (Cell 2)SCell 2 (Cell 3),
Neighbor cell,,"1, 2",Cell 4,Cell to be identified.
RF Channel Number,,"1, 2",1: Cell 12: Cell 2 and Cell 43: Cell 3,"One TDD carrier frequency is used for the NR PCell. One TDD carrier frequency is used for the NR SCell1 (Cell2) and the neighbor cell (Cell 4).One TDD carrier frequency is used for the NR SCell2.Cell 1 is on one band. Cell 2, Cell 3 and Cell 4 are on the other band."
SMTC configuration,,"1, 2",SMTC.1,
A3-Offset,dB,"1, 2",-11,
CP length,,"1, 2",Normal,
Hysteresis,dB,"1, 2",0,
Time To Trigger,s,"1, 2",0,
Filter coefficient,,"1, 2",0,L3 filtering is not used
DRX,,"1, 2",OFF,
Time offset between Cell 1 and Cell 2,,"1, 2",3 s,Synchronous cells
Time offset between Cell 2 and Cell 3,,"1, 2",3 s,Synchronous cells
Time offset between Cell 2 and Cell 4,,"1, 2",3 s,Synchronous cells
T1,s,"1, 2",5,
T2,s,"1, 2",5,
