Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,Sub-test 1,Sub-test 2,Sub-tets 1,Sub-test 2
AoA setup,,1,Setup 1 as specified in clause A.3.15,,,
Beam AssumptionNote 7,,1,Rough,,Rough,
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
OCNG Patterns,,1,OP.1,,OP.1,
TRS Configuration,,1,TRS.2.1 TDD,,N/A,
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,,N/A,
Active DL BWP configuration,,1,DLBWP.1.1,,N/A,
Active UL BWP configuration,,1,ULBWP.1.1,,N/A,
PRS configuration,,1,PRS.1.1 FR2,,PRS.1.1 FR2,
PRS BW,,1,64PRBs,64 PRBs,64  PRBs,64 PRBs
PRS muting info,,1,‘10’,,‘01’,
SRS configuration,,1,POS-SRS.3,,N/A,
Note 2,dBm/SCS,1,-89,,,
Note 2,dBm/15 kHz,1,-98,,,
PRS,dB,1,0,-2.41,-6,-12.12
PRS,dB,1,2.23,-2,-1.73,-10
PRS-RSRP Note 3,dBm/SCS kHz,1,-86.77,-91,-90.73,-99
Io,dBm/190.08 MHz,1,-51.76,-54.62,-51.76,-54.62
Propagation Condition,,1,AWGN,,,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:PRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 8:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
