Parameter,Unit,Test configuration,Value,Comment
Active cell,,1,Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,1,Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,1,1,"For both Cell 1 and Cell 2, all signals/channels except PRS in PFL2 are allocated within this channel."
,,,2,"For both Cell 1 and Cell 2, only PRS in PFL2 is allocated within this channel."
BWchannel,MHz,1,"200: NRB,c = 132",For both RF channels
SSB configuration,,1,SSB.2 FR2,
SMTC configuration,,1,SMTC.1,
Measurement gap,,1,GP#24 or GP#13 Note 1,
CP length,,1,Normal,
DRX,,1,OFF,
Time offset between serving and neighbour cells,s,1,3,Synchronous cells/TRPs
Expected RSTD,s,1,3,
Expected RSTD uncertainty,s,1,5,
"Note 1:GP#24 is configured if the UE supports it, otherwise GP#13 is configured.",,,,
