Parameter,Config,Unit,Value
SSB ARFCN,1~6,,freq1
Duplex mode,"1,4",,FDD
,"2,5",,TDD
,"3,6",,TDD
TDD Configuration,"1,4",,N/A
,"2,5",,TDDConf.1.1
,"3,6",,TDDConf.2.1
BWchannel,"1,4",MHz,"10: NPRB,c = 52"
,"2,5",,"10: NPRB,c = 52"
,"3,6",,"40: NPRB,c = 106"
PDSCH Reference measurement channel,"1,4",,SR.1.1 FDD
,"2,5",,SR.1.1 TDD
,"3,6",,SR.2.1 TDD
RMSI CORESET Reference Channel,"1,4",,CR.1.1 FDD
,"2,5",,CR.1.1 TDD
,"3,6",,CR.2.1 TDD
Dedicated CORESET Reference Channel,"1,4",,CCR.1.1 FDD
,"2,5",,CCR.1.1 TDD
,"3,6",,CCR.2.1 TDD
SSB configuration,"1,4",,SSB.3 FR1
,"2,5",,SSB.3 FR1
,"3,6",,SSB.4 FR1
OCNG Patterns,1~6,,OP.1
Initial BWP Configuration,1~6,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~6,,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~6,,SMTC.1
CSI-RS for tracking,"1,4",,TRS.1.1 FDD
,"2,5",,TRS.1.1 TDD
,"3,6",,TRS.1.2 TDD
DRX configuration,1~6,,Off
SSB index assigned as RLM RS,1~6,,"0,1"
SSB Index assigned as BFD RS (q0),1~6,,0
SSB Index assigned as CBD RS (q1),1~6,,1
EPRE ratio of PSS to SSS,1~6,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Note2,1~6,dBm/15 kHz,-104
,1~6,dB,17
,1~6,dB,17
SS-RSRP Note3,1~6,dBm/15 kHz,-87
IoNote3,"1,2,4,5",dBm/9.36 MHz,-58.96
,"3,6",dBm/38.16 MHz,-52.86
Propagation condition,1~6,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modeled as AWGN of appropriate power for Noc to be fulfilled within BWoccupied.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselvess.,,,
