Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 2",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,"1, 2",66,,66,
Initial BWP configuration,,"1, 2",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1, 2",DLBWP.1.2,,DLBWP.1.1,
Active UL BWP configuration,,"1, 2",ULBWP.1.2,,ULBWP.1.1,
RLM-RS,,"1, 2",CSI-RS,,SSB,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
,,2,SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
,,2,CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
,,2,CCR.3.7 TDD,,N/A,
TRS configuration,,"1, 2",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI state,,"1, 2",TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2",120,,120,
OCNG Patterns,,"1, 2",OP.1,,OP.1,
SSB,,1,SSB.3 FR2,,SSB.3 FR2,
,,2,SSB.4 FR2,,SSB.4 FR2,
Propagation Condition,,"1, 2",AWGN,,AWGN,
