Parameter,Unit,Test configuration,Cell 1,,Cell 2,,Cell 3,,
,,,T1,T2,T1,T2,,T1,T2
AoA setup,,1,Setup 1 as specified in clause A.3.15,,,,,,
Beam AssumptionNote 5,,1,Rough,,Rough,,,Rough,
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,,,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,,N/A,,,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,,,N/A,
OCNG PatternsNote 1,,1,OP.1,,OP.1,,,OP.1,
EPRE ratio of PSS to SSS,dB,1,0,,0,,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,,
"EPRE ratio of OCNG DMRS to SSSNote 1, 4",,,,,,,,,
"EPRE ratio of OCNG to OCNG DMRS Note 1, 4",,,,,,,,,
EPRE ratio of PRS to SSS,,,,,,,,,
TRS Configuration,,1,TRS.2.1 TDD,,N/A,,,N/A,
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,,N/A,,,N/A,
Active DL BWP configuration,,1,DLBWP.1.1,,N/A,,,N/A,
Active UL BWP configuration,,1,ULBWP.1.1,,N/A,,,N/A,
PRS configuration,,1,PRS.1.1 FR2,,PRS.1.1 FR2,,,PRS.1.1 FR2,
PRS muting info (dl-PRS-MutingOption1),,1,‘10’,,‘01’,,,‘10’,
Note 2,dBm/SCS,1,-89,,,,,,
PRS,dB,1,-Infinity,-6,-Infinity,-13,,-Infinity,-13
PRS,dB,1,-Infinity,-6,-Infinity,-13,,-Infinity,-13
PRP Note 3,dBm/SCS kHz,1,-Infinity,-95,-Infinity,-102,,-Infinity,-102
Io Note 3 (on symbols where PRS is not allocated),dBm/95.04 MHz,1,N/A,-58.7,N/A,-58.7,,N/A,-58.7
Propagation Condition,,1,AWGN,,,,,,
"Note 1:OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved on all OFDM symbols except those in which PRS is allocated. Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:PRP and Io levels have been derived from other parameters and they are provided for information only. They are not settable parameters themselves.Note 4:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 5:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNote 6:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.",,,,,,,,,
