Parameter,Unit,Config,Value,,Comment
,,,Test 1,Test 2,
Active cell,,"1, 2",PCell (Cell 1),,
Neighbour cell,,"1, 2",Cell 2,,Cell to be identified.
RF Channel Number,,"1, 2",1: Cell 1 and Cell 2,,One TDD carrier frequency is used for the NR cells.
Gap type,,"1, 2",Per-UE gaps,,
Measurement gap repetition periodicity,ms,"1, 2",40,,
Measurement gap length,ms,"1, 2",6,,
Measurement gap offset,ms,"1, 2",39,,
SMTC configuration,,"1, 2",SMTC.1,,
CSI-RS parameters,,"1, 2",CSI-RS.3.2 TDD resource #0,,Resource #1 is not used
A3-Offset,dB,"1, 2",-6,,
CP length,,"1, 2",Normal,,
Hysteresis,dB,"1, 2",0,,
Time To Trigger,s,"1, 2",0,,
Filter coefficient,,"1, 2",0,,L3 filtering is not used
DRX,,"1, 2",DRX.1,DRX.7,DRX related parameters are defined in table A.7.6.1.2.1-5
Time offset between Cell 1 and Cell 2,,"1, 2",3 s,,Synchronous cells
fbs-ThresholdP-r19,,"1, 2",62,,The actual value is equal to 62 – 156 = -94 dBm.
T1,s,"1, 2",5,,
T2,s,"1, 2",10,52,
