Parameter,Unit,Config,Value,Comment
,,,Test 1,
Active cell,,1,PCell (Cell 1),
Neighbour cell,,1,Cell 2,Cell to be identified.
RF Channel Number,,1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
CSI-RS resource configuration,,1,CSI-RS.RRM.FR2.1 TDD,
A3-Offset,dB,1,-6,
CP length,,1,Normal,
Hysteresis,dB,1,0,
Time To Trigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,,1,DRX.1,DRX related parameters are defined in table A.3.3
Time offset between Cell 1 and Cell 2,s,1,0.58,The timing of Cell 2 is CP later than the timing of Cell 1.
T1,s,1,5,
T2,s,1,10,
