Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
NR RF Channel Number,,"1, 2",1,,2,
TDD configuration,,"1, 2",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Initial BWP configuration,,"1, 2",DLBWP.0.1ULBWP.0.1,,N/A,
Active DL BWP configuration,,"1, 2",DLBWP.1.1,,N/A,
Active UL BWP configuration,,"1, 2",ULBWP.1.1,,N/A,
RLM-RS,,"1, 2",SSB,,N/A,
PDSCH RMC configuration,,"1, 2",SR.3.1 TDD,,N/A,
RMSI CORESET RMC configuration,,"1, 2",CR.3.1 TDD,,N/A,
Dedicated CORESET RMC configuration,,"1, 2",CCR.3.1 TDD,,N/A,
TRS configuration,,"1, 2",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI states,,"1, 2",TCI.State.2,,N/A,
OCNG Patterns,,"1, 2",OP.1,,OP.1,
SSB,,1,SSB.3 FR2,,SSB.3 FR2,
,,2,SSB.4 FR2,,SSB.4 FR2,
Propagation Condition,,"1, 2",AWGN,,,
