Parameter,,Config,Unit,Value
SSB ARFCN,,1~6,,Freq2
Duplex mode,,1~6,,TDD
TDD Configuration,,1~2,,TDDConf.3.1
BWchannel,,1~6,MHz,"100: NPRB,c = 66"
Data PRBs allocated,,1~6,,66
PDSCH Reference measurement channel,,"1,2,3",,SR.3.2 TDD
,,"4,5,6",,SR.3.3 TDD
RMSI CORESET Reference Channel,,"1,2,3",,CR.3.1 TDD
,,"4,5,6",,CR.3.2 TDD
Dedicated CORESET Reference Channel,,"1,2,3",,CCR.3.1 TDD
,,"4,5,6",,CCR.3.7 TDD
SSB configuration,,"1,2,3",,SSB.1 FR2
,,"4,5,6",,SSB.2 FR2
OCNG Patterns,,1~6,,OP.1
Initial BWP Configuration,,1~6,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,,1~6,,DLBWP.1.3ULBWP.1.3
SMTC configuration,,1~6,,SMTC.1
TRS Configuration,,1~6,,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,,1~6,,TCI.State.2
DRX configuration,,1~6,,Off
reportConfigType,,1~6,,periodic
reportQuantity,,1~6,,ssb-Index-RSRP
Number of reported RS,,1~6,,2
SSB index associated to a PCI different from serving cell,,1~6,,"0,1"
SSB index associated to indicated TCI,,1~6,,0
SSB index associated to newBeamResourceSet,,1~6,,1
eventTypeUE-IBR-r19,,1~6,,event2-r19
eventThreshold-r19,,1~6,,0
reportTransmissionMode-r19,,1~6,,modeA-r19
currentBeamReport-r19,,1~6,,disabled
PUCCH-Resource-r19,periodicityAndOffset,1~6,,"sl5, 4"
,pucch-Cell-r19,1~6,,Cell 2
Timing offset between two SSBs associated to different PCI,,1~6,,<CP
T1,,1~6,s,5
T2,,1~6,s,2
EPRE ratio of PSS to SSS,,1~6,dB,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation condition,,1~6,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,
