Parameter,Config,Unit,Cell 1,Cell 2
SSB ARFCN,1~2,,freq1,freq 2
Duplex mode,1~2,,TDD,
TDD Configuration,1~2,,TDDConf.3.1,
BWchannel,1~2,MHz,"100: NPRB,c = 66",
Data PRBs allocated,1~2,,66,
PDSCH/PDCCH subcarrier spacing,1~2,KHz,120,
PUCCH/PUSCH subcarrier spacing,1~2,KHz,120,
PDSCH Reference measurement channel,1,,SR.3.2 TDD,N/A
,2,,SR.3.3 TDD,N/A
RMSI CORESET Reference Channel,1,,CR.3.1 TDD,N/A
,2,,CR.3.2 TDD,N/A
Dedicated CORESET Reference Channel,1,,CCR.3.1 TDD,N/A
,2,,CCR.3.7 TDD,N/A
SSB configuration,1,,SSB.3 FR2,SSB.3 FR2
,2,,SSB.4 FR2,SSB.4 FR2
OCNG Patterns,1~2,,OP.1,OP.1
Initial BWP Configuration,1~2,,DLBWP.0.1ULBWP.0.1,
Dedicated BWP configuration,1~2,,DLBWP.1.3ULBWP.1.3,
SMTC configuration,1~2,,SMTC.1,SMTC.1
TRS Configuration,1~2,,TRS.2.1 TDD,N/A
PDCCH/PDSCH TCI Configuration,1~2,,TCI.State.2,N/A
EPRE ratio of PSS to SSS,1~2,dB,0,
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation condition,1~2,,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,
