Parameter,Config,Unit,Value
SSB ARFCN,1~2,,freq1
Duplex mode,1~2,,TDD
TDD Configuration,1~2,,TDDConf.3.1
BWchannel,1~2,MHz,"100: NPRB,c = 66"
PDSCH Reference measurement channel,1~2,,SR.3.1 TDD
RMSI CORESET Reference Channel,1~2,,CR.3.1 TDD
Dedicated CORESET Reference Channel,1~2,,CCR.3.1 TDD
SSB configuration,1,,SSB.1 FR2
,2,,SSB.2 FR2
CSI-IM configuration,1~2,,CSI-IM.3.1 TDD
OCNG Patterns,1~2,,OP.1
Initial BWP Configuration,1~2,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~2,,DLBWP.1.3ULBWP.1.3
SMTC configuration,1~2,,SMTC.1
TRS Configuration,1~2,,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,1~2,,TCI.State.2
DRX configuration,1~2,,DRX.3
reportConfigType,1~2,,periodic
reportQuantity-r16,1~2,,ssb-Index-SINR-r16
Number of reported RS,1~2,,2
L1-SINR reporting period,1~2,slot,640
T1,1~2,s,5
T2,1~2,s,2
Propagation condition,1~2,,AWGN
EPRE ratio of PSS to SSS,1~2,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1~2,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
