Parameter,Config,Unit,Test 1,,Test 2 NOTE 3,
,,,CSI-RS0,CSI-RS1,CSI-RS0,CSI-RS1
Angle of arrival configuration,,,Setup 5 according to A.3.15.5,,Setup 5 according to A.3.15.5,
Assumption for UE beamsNote 4,,,Rough,,Rough,
,1~2,dBm/15 kHz,-100,,n.a.,
,1~2,dBm/SSB SCS,-91,,n.a.n.a.,
,1~2,dB,10,-2,n.a.,
CSI-RS-RSRPNote1,1~2,dBm/SCS,-81,-93,As in table B.2.4-2,
IoNote1,1~2,dBm/95.04 MHz,-59.86,,SS-RSRP+28.98,
,1~2,dB,-51.57,-2,n.a.,
"NOTE 1:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 3:No additional noise is added by the test system in Test 2.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
