Parameter,Config,Unit,Value
SSB ARFCN,1~3,,freq1
Duplex mode,1~3,,TDD
TDD Configuration,1~3,,TDDConf.3.1
BWchannel,1,MHz,"100: NPRB,c = 66"
,2,,"400: NPRB,c = 66"
,3,,"400: NPRB,c = 33"
Data PRBs allocated,1,,66
,2,,66
,3,,33
PDSCH Reference measurement channel,1,,SR.3.2 TDD
,2,,TBD
,3,,TBD
RMSI CORESET Reference Channel,1,,CR.3.1 TDD
,2,,TBD
,3,,TBD
Dedicated CORESET Reference Channel,1,,CCR.3.1 TDD
,2,,TBD
,3,,TBD
SSB configuration,1,,SSB.1 FR2
,2,,TBD
,3,,TBD
OCNG Patterns,1~3,,OP.1
Initial BWP Configuration,1~3,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~3,,DLBWP.1.3ULBWP.1.3
SMTC configuration,1~3,,SMTC.1
TRS Configuration,1~3,,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,1~3,,TCI.State.2
DRX configuration,1~3,,DRX.3
reportConfigType,1~3,,periodic
reportQuantity,1~3,,ssb-Index-RSRP
Number of reported RS,1~3,,2
L1-RSRP reporting period,1,slot,TBD
,2,,TBD
,3,,TBD
T1,1~3,s,5
T2,1~3,s,3
EPRE ratio of PSS to SSS,1~3,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1~3,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
