Parameter,Unit,Config,,Cell 1,,,Cell 2,,,
,,,,T1,,T2,T1,,T2,
AoA setup,,"1, 2",,Setup 3 defined in A.3.15.3,,,,,,
,,,,AoA1,,,AoA2,,,
Beam assumptionNote 4,,"1,2",,Rough,,,Rough,,,
Es,dBm/SCS,1,,-89,,-89,,-Infinity,-89,
,,2,,-86,,-86,,-Infinity,-86,
BB Note 5,dB,"1, 2",,-0.12,,-0.12,,-Infinity,-0.12,
SSB_RP,dBm/SCS,1,,-89,,-89,-Infinity,,-89,
,,2,,-86,,-86,-Infinity,,-86,
,dBm/95.04 MHz,1,,-64.41,,-64.41,-Infinity,,-64.41,
,,2,,-61.41,,-61.41,-Infinity,,-61.41,
Time multiplexing of the downlink transmissions from each AoA,,,"1, 2",,Defined in figure A.7.6.1.1.1-1,,,,,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:VoidNOTE 3:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,,,,
