Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
AoA setup,,1,Setup 1 defined in A.3.15.1,,,
,,,,,,
Beam assumptionNote 4,,1,Rough,,Rough,
,dB,1,4,4,-Infinity,8
Note 2,dBm/15 KHz,1,-102,,,
Note 2,dBm/SCS,1,-93,,,
,,,,,,
SS-RSRP,dBm/SCS,1,-89,-89,-Infinity,-85
,,,,,,
,dB,1,4,4,-Infinity,8
,dBm/95.04MHz,1,-58.56,,-55.38,
"Note 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4:Information about types of UE beam is given in annex B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
