Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1,"100: NPRB,c = 66",,"100: NPRB,c = 66",
Initial BWP configuration,,1,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,1,DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,1,ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,1,SSB,,SSB,
PDSCH RMC configuration,,1,SR.3.1 TDD,,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,CR.3.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,CCR.3.1 TDD,
TRS configuration,,1,TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI states,,1,TCI.State.2,,N/A,
OCNG Patterns,,1,OP.1,,OP.1,
SMTC,,1,SMTC.1,,,
SSB,,1,SSB.3 FR2,,SSB.7 FR2,
CSI-RS,,1,CSI-RS.RRM.FR2.1 TDD,,"CSI-RS.RRM.FR2.1 TDD exceptAssociated SSB index = 1,slotConfig = ms20 (slot 2)",
Propagation Condition,,1,AWGN,,,
