Parameter,Unit,Config,Cell 1,,Cell 2,,
,,,T1,T2,T1,T2,
AoA setup,,1,Setup 1 defined in A.3.15.1,,,,
Beam assumptionNote 4,,1,Fine,,Fine,,
for SSB,dB,1,4,-1.46,-Infinity,-1.46,
for CSI-RS,dB,1,4,-1.46,-Infinity,-1.46,
Note 2,dBm/15 KHz,1,-98,,,,
Note 2,dBm/SCS,1,-89,,,,
CSI-RSRP,dBm/SCS,1,-85,-85,-Infinity,-85,
SS-RSRP,dBm/SCS,1,-85,-85,-Infinity,-85,
for SSB,dB,1,4,4,-Infinity,4,
for CSI-RS,dB,1,4,4,-Infinity,4,
,dBm/95.04 MHz,1,-54.53,-52.18,-54.53,-52.18,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for to be fulfilled.NOTE 3:CSI-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1, and does not limit UE implementation or test system implementation.",,,,,,,
