Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,Cell 3,,
,,,T1,,T2,T1,T2,T1,,T2
AoA setup,,Config 1,Setup 3 as specified in clause A.3.15,,,,,,,
,,,AoA1,,,AoA2,,AoA2,,
Beam AssumptionNote 4,,Config 1,Rough,,,Rough,,Rough,,
NR RF Channel Number,,Config 1,1,,,1,,2,,
Duplex mode,,Config 1,TDD,,,TDD,,TDD,,
TDD configuration,,Config 1,TDDConf.3.1,,,TDDConf.3.1,,TDDConf.3.1,,
BWchannel,MHz,Config 1,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,"100: NPRB,c = 66",,
Data PRBs allocated,,Config 1,66,,,66,,66,,
BWP-1 Configuration,,Config 1,DLBWP.1.6ULBWP.1.6,,,N/A,,N/A,,
BWP-2 Configuration,,Config 1,DLBWP.1.5ULBWP.1.5,,,N/A,,N/A,,
SSB configuration,,,SSB.3 FR2,,,SSB.7 FR2,,SSB.3 FR2,,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,Config 1,OP.1,,,N/A,,N/A,,
PDSCH Reference measurement channel,,Config 1,SR.3.1 TDD,,,N/A,,N/A,,
CORESET Reference Channel,,Config 1,CR.3.1 TDD,,,N/A,,N/A,,
TRS configuration,,Config 1,TRS.2.1 TDD,,,N/A,,N/A,,
PDSCH/PDCCH TCI state,,Config 1,TCI.State.2,,,N/A,,N/A,,
EPRE ratio of PSS to SSS,,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,Config 1,0,,,0,,0,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Ês,dBm/SCS,Config 1,-87,-87,,-Infinity,-87,-87,-87,
SSB_RP Note 2,dBm/SCS Note3,Config 1,-87,-87,,-Infinity,-87,-87,-87,
BB Note 5,dB,Config 1,1.89,1.89,,-Infinity,1.89,1.89,1.89,
IoNote 2,dBm/95.04 MHz Note3,Config 1,-58.01,-58.01,,-Infinity,-58.01,58.01,-58.01,
Propagation Condition,,Config 1,AWGN,,,,,,,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:SSB_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,,,,,
