Parameter,Config,Unit,SSB#0,,SSB#1,
,,,T1,T2,T1,T2
Angle of arrival configuration,,,Setup 4c as defined in clause A.3.15.4.X,,,
Beam AssumptionNote 4,1-2,,Rough,,,
Note2,1~2,dBm/15 kHz,-105,,,
Note2,1,dBm/SSB SCS,-96,,,
,2,,-93,,,
,1~2,dB,0,0,-Infinity,9
SSB_RP Note3,1,dBm/SSB SCS,-96,-96,-Infinity,-87
,2,,-93,-93,-Infinity,-84
Io Note3,1,dBm/95.04 MHz,-68.37,-68.37,-71.38,-61.86
,2,,-68.37,-68.37,-71.38,-61.86
,1~2,dB,0,0,-Infinity,9
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
