Parameter,Unit,Test configuration,Cell 1,
,,,T1,T2
AoA setup,,1,Setup 1 as specified in clause A.3.15AoA setup,
Beam AssumptionNote 7,,1,Rough,
TDD configuration,,1,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,
OCNG Patterns,,1,OP.1,
TRS Configuration,,1,TRS.2.1 TDD,
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,
Active DL BWP configuration,,1,DLBWP.1.1,
Active UL BWP configuration,,1,ULBWP.1.1,
SRS configuration,,1,PDC-SRS.3,
Note 2,dBm/SCS,1,-89,
Note 2,dBm/15 kHz,1,-98,
TRS,dB,1,-Infinity,-2.41
TRS,dB,1,-Infinity,-2
TRS-RSRP Note 3,dBm/SCS kHz,1,-Infinity,-91
Io,dBm/95.04 MHz,1,N/A,-57.63
Propagation Condition,,1,AWGN,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:TRS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:TRS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,
