Parameter,Unit,Test configuration,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
AoA setup,,1,Setup 1 as specified in clause A.3.15,,,
Beam AssumptionNote 4,,1,Rough,,Rough,
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,
PDSCH RMC configuration,,1,SR.3.1 TDD,,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
OCNG PatternsNote 1,,1,OP.1,,OP.1,
EPRE ratio of PSS to SSS,dB,1,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
EPRE ratio of PRS to SSS,,,,,,
TRS Configuration,,1,TRS.2.1 TDD,,N/A,
Initial BWP configuration,,1,DLBWP.0.1 ULBWP.0.1,,N/A,
Active BWP configuration,,1,DLBWP.1.1ULBWP.1.1,,N/A,
PRS configuration (for both PFL1 and PFL2),,1,PRS.1.2 FR2,,PRS.1.2 FR2,
PRS Resource slot offset (for both PFL1 and PFL2),slot,1,0,,4,
SRS configuration,,1,POS-SRS.3,,N/A,
Note 2,dBm/SCS,1,-89,,,
PRS,dB,1,-2.41,,-12.12,
PRS,dB,1,-2,,-10,
PRP Note 3,dBm/SCS kHz,1,-91,,-99,
Io Note 3 (on symbols where PRS is not allocated),dBm/190.08 MHz,1,-54.59,,-54.59,
Propagation Condition,,1,AWGN,,,
"Note 1:OCNG shall be used such that active cell (Cell 1) is fully allocated and a constant total transmitted power spectral density is achieved on all OFDM symbols except those in which PRS is allocated. Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3:PRP and Io levels have been derived from other parameters and they are provided for information only. They are not settable parameters themselves.Note 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation.Note 5:Calculation of Es/Iot includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] table 6.2.1.3-4.Note 6:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zone.Note 7:As observed with 0 dBi gain antenna at the centre of the quiet zone.",,,,,,
