Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1, 2",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,1,24,,24,
,,2,48,,48,
Initial BWP configuration,,"1, 2",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1, 2",DLBWP.1.2,,DLBWP.1.2,
Active UL BWP configuration,,"1, 2",ULBWP.1.2,,ULBWP.1.2,
RLM-RS,,"1, 2",SSB,,SSB,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
,,2,SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
,,2,CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
,,2,CCR.3.7 TDD,,N/A,
PDSCH/PDCCH TCI states,,"1, 2",TCI.State.0,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2",120,,120,
OCNG Patterns,,"1, 2",OP.5,,N/A,
cellIndividualOffset,dB,1~2,N/A,,16,
CD-SSB,,1,SSB.3 FR2,,SSB.3 FR2,
,,2,SSB.4 FR2,,SSB.4 FR2,
NCD-SSB,,1,SSB.26 FR2,,SSB.26 FR2,
,,2,SSB.27 FR2,,SSB.27 FR2,
Propagation Condition,,"1, 2",AWGN,,AWGN,
NOTE 1:The starting PRB index of the CD-SSB can be any possible PRB index of the RF channel BW occurring after the last PRB of the DL active BWP.NOTE 2:The starting PRB index of the NCD-SSB can be the same as the starting PRB index for DL active BWP.,,,,,,
