Parameter,Config,Unit,Value
SSB ARFCN,1,,freq1
Duplex mode,1,,TDD
TDD configuration,1,,TDDConf.3.1
BWchannel,1,MHz,"200: NPRB,c = 132"
SBFD configuration,1,,SBFD.2 FR2
PDSCH Reference measurement channel,1,,SR.3.1 TDD
RMSI CORESET Reference Channel,1,,CR.3.1 TDD
Dedicated CORESET Reference Channel,1,,CCR.3.1 TDD
SSB configuration,1,,SSB.34 FR2
OCNG Patterns Note2,1,,OP.1
TRS configuration,1,,TRS.2.1 TDD
Initial BWP Configuration,1,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1,,DLBWP.1.3ULBWP.1.3
SMTC configuration,1,,SMTC.1
Time offset between DL from serving cell and OCNG from test system,1,s,0
EPRE ratio of PSS to SSS,1,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1,,AWGN
Antenna configuration,1,,1x2
T1,1,ms,200
T2,1,ms,100
