Parameter,Unit,Test configuration,Value,Comment
Active cell,,1,Cell 1,Cell 1 is the PCell in NR-Multi-RTT-ProvideAssistanceData [34].
Neighbour cell,,1,Cell 2,Cell 2 is a neighbour cell in NR-Multi-RTT-ProvideAssistanceData [34].
RF Channel Number,,1,1,For both Cell 1 and Cell 2
BWchannel,MHz,1,"100: NRB,c = 66",
SSB configuration,,1,SSB.3 FR2,
SMTC configuration,,1,SMTC.1,
CP length,,1,Normal,
DRX,s,1,0.64,
eDRX cycle length (for both RAN and CN),s,1,40.96,
PTW length (for both RAN and CN),s,1,1.28,
Reporting periodicity,s,1,20,reportingInterval for periodic reporting defined in TS 37.355 [34].
Time offset between serving and neighbour cells,s,1,3,Synchronous cells
Expected RSTD,s,1,3,
Expected RSTD uncertainty,s,1,5,
T1,s,1,5,
T2,s,1,20,
