Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,"1,2,3",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1,"100: NPRB,c = 66",,"100: NPRB,c = 66",
,,2,"400: NPRB,c = 66",,"400: NPRB,c = 66",
,,3,"400: NPRB,c = 33",,"400: NPRB,c = 33",
Data PRBs allocated,,1,66,,66,
,,2,66,,66,
,,3,33,,33,
Initial BWP configuration,,"1,2,3",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1,2,3",DLBWP.1.2,,DLBWP.1.1,
Active UL BWP configuration,,"1,2,3",ULBWP.1.2,,ULBWP.1.1,
RLM-RS,,"1,2,3",CSI-RS,,SSB,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
,,"2,3",SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
,,"2,3",CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
,,"2,3",CCR.3.7 TDD,,N/A,
TRS configuration,,"1, 2,3",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI state,,"1, 2,3",TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,"1, 2,3",120,,120,
OCNG Patterns,,"1, 2,3",OP.1,,OP.1,
SSB,,1,SSB.11 FR2,,SSB.11 FR2,
,,"2,3",SSB.12 FR2,,SSB.12 FR2,
Propagation Condition,,"1, 2,3",AWGN,,AWGN,
