Parameter,Unit,Config,Value,,Comment
,,,Test 1,Test 2,
Active cell,,"1, 2,3",PCell (Cell 1),,
Neighbour cell,,"1, 2,3",Cell 2,,Cell to be identified.
RF Channel Number,,"1, 2,3",1: Cell 1 and Cell 2,,One TDD carrier frequency is used for the NR cells.
SMTC configuration,,"1, 2,3",SMTC.1,,
A3-Offset,dB,"1, 2,3",-6,,
CP length,,"1, 2,3",Normal,,
Hysteresis,dB,"1, 2,3",0,,
Time To Trigger,s,"1, 2,3",0,,
Filter coefficient,,"1, 2,3",0,,L3 filtering is not used
DRX,,"1, 2,3",DRX.1,DRX.7,DRX related parameters are defined in table A.7.6.1.2.1-5
Time offset between Cell 1 and Cell 2,,"1, 2,3",3 s,,Synchronous cells
T1,s,"1, 2,3",5,,
T2,s,"1, 2,3",10,52,
