Parameter,Unit,Test 1,
,,Cell 1,Cell 2
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1,
Assumption for UE beamsNote 7,,Rough,
Note1,dBm/15 kHzNote4,-98,
Note1,dBm/SCSNote4,-89,
,dB,2.23,-1.73
Es,dBm/SCSNote4,-,-
PRS_RPNote2,dBm/SCS,-86.77,-90.73
SS_RPNote2,dBm/SCS,-86.77,-90.73
BB Note6,dB,0,-6
IoNote2,dBm/190.08 MHz Note4,-51.76,
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:PRS_RP, SS_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:VoidNOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:VoidNOTE 6:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 7:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation.",,,
