Parameter,Config,Unit,Value
SSB ARFCN,1,,freq1
Duplex mode,1,,TDD
TDD Configuration,1,,TDDConf.3.1
BWchannel,1,MHz,"100: NPRB,c = 66"
PDSCH Reference measurement channel,1,,SR.3.1 TDD
RMSI CORESET Reference Channel,1,,CR.3.1 TDD
Dedicated CORESET Reference Channel,1,,CCR.3.1 TDD
SSB configuration,1,,SSB.1 FR2
CSI-RS as CMR configuration,1,,CSI-RS.3.3 TDD
CSI-RS as IMR configuration,1,,CSI-RS.3.2A TDD
OCNG Patterns,1,,OP.1
Initial BWP Configuration,1,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1,,DLBWP.1.3ULBWP.1.3
SMTC configuration,1,,SMTC.1
TRS Configuration,1,,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,1,,TCI.State.2
DRX configuration,1,,DRX.3
reportConfigType,1,,aperiodic
reportQuantity-r16,1,,cri-SINR-r16
Number of reported RS,1,,2
qcl-Info,1,,SSB#0 for resource#0
,,,SSB#1 for resource#1
reportSlotOffsetList,1,,26
T1,1,s,5
EPRE ratio of PSS to SSS,1,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1,,AWGN
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
