Parameter,Unit,Test configuration,Value,Comment
Reference cell,,1,Cell 1,"Reference cell is the cell in the DL-TDOA assistance data with respect to which the RSTD measurement is defined, as specified in TS 38.215 [4] and TS 37.355 [34]. The reference cell is the PCell in this test case."
Neighbour cells,,1,Cell 2 and Cell 3,Cell 2 and Cell 3 appear at the first and second places in the neighbour cell list in the DL-TDOA assistance data.
RF Channel Number,,1,1,"For Cell 1, Cell 2 and Cell 3"
BWchannel,MHz,1,"100: NRB,c = 66",
SSB configuration,,1,SSB.3 FR2,
SMTC configuration,,1,SMTC.1,
CP length,,1,Normal,
DRX,s,1,0.64,
eDRX cycle length (for both RAN and CN),s,1,40.96,
PTW length (for both RAN and CN),s,1,1.28,
Reporting periodicity,s,1,20,reportingInterval for periodic reporting defined in TS 37.355 [34].
Time offset between serving and neighbour cells,s,1,Cell 2 to Cell 1: 0Cell 3 to Cell 1: 3,Synchronous cells
Expected RSTD,s,1,Cell 2: 3Cell 3: 3Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the DL-TDOA assistance data specified in TS 37.355 [34] is the expectedRSTD indicator
Expected RSTD uncertainty,s,1,5,
Number of cells provided in DL-TDOA assistance data,,1,3,Including the reference cell
PRS muting info,,1,Cell 1: ‘10’Cell 2: ‘01’Cell 3: ‘10’,Correponds to NR-MutingPattern-r16 in DL-PRS-MutingOption1-r16 defined in TS 37.355 [34]
PRS resource RE offset,,1,Cell 1: 0Cell 2: 0Cell 3: 1,Cell 1 and Cell 3 are configured with different resource offsets
T1,s,1,5,
T2,s,1,41,
