Parameter,Unit,Config,Value,Comment
Active cell,,1,PCell (Cell 1),
Neighbour cell,,1,Cell 2,Cell to be identified.
RF Channel Number,,1,1: Cell 1 and Cell 2,One TDD carrier frequency is used for the NR cells.
Gap type,,1,Per-UE gaps,
Measurement gap repitition periodicity,ms,1,40,
Measurement gap length,ms,1,6,
Measurement gap offset,ms,1,39,
SMTC configuration,,1,SMTC.1,
CSI-RS parameters,,1,CSI-RS.3.2 TDD,
A3-Offset,dB,1,-11,
CP length,,1,Normal,
Hysteresis,dB,1,0,
Time To Trigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,,1,OFF,
Time offset between Cell 1 and Cell 2,,1,3 s,Synchronous cells
T1,s,1,5,
T2,s,1,5,
