Parameter,Unit,Test configuration,Value,,Comment
,,,Test 1,Test 2,
NR RF Channel Number,,Config 1,"1, 2",,Two FR2 NR carrier frequencies are used.
Active cell,,Config 1,NR cell 1 (PCell),,NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,Config 1,NR cell 2,,NR cell 2 is on NR RF channel number 2.
Gap Pattern Id,,Config 1,13,,As specified in clause 9.1.2-1.
Measurement gap offset,,Config 1,39,,
SMTC-SSB parameters,,Config 1,SSB.1 FR2,,As specified in clause A.3.10.2
A3-Offset,dB,Config 1,-6,,
Hysteresis,dB,Config 1,0,,
CP length,,Config 1,Normal,,
TimeToTrigger,s,Config 1,0,,
Filter coefficient,,Config 1,0,,L3 filtering is not used
DRX,,Config 1,DRX.1,DRX.7,As specified in clause A.3.3
Time offset between serving and neighbour cells,,Config 1,3s,,Synchronous cells.
FBS-ThresholdP,dBm,Config 1,-95,,
T1,s,Config 1,5,,
T2,s,Config 1,6.5 for PC3,67 for PC3,
