Parameter,Config,Unit,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
Angle of arrival configuration,1~2,,Setup 1 according to A.3.15.1,,,
,,,,,,
Beam AssumptionNote 4,1~2,,Fine,,Fine,
BBNote 5,1~2,dB,-0.12,16.5,-1.5,16.5
SSB_RP Note3,1,dBm/SSB SCS,-89,-85,-103,-85
,2,,-86,-82,-100,-82
CSI_RSRP,1,dBm/CSI-RS SCS,-89,-85,-103,-85
,2,dBm/CSI-RS SCS,-86,-82,-100,-82
Io Note3,1,dBm/95.04 MHz,-61.41,-56,-74,-56
,2,,-61.41,-56,-74,-56
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementationNOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
