Parameter,Unit,Config,Cell 1,,Cell 2,
,,,T1,T2,T1,T2
TDD configuration,,1,TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1,"100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,1,24,,24,
Initial BWP configuration,,1,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,1,DLBWP.1.2,,DLBWP.1.1,
Active UL BWP configuration,,1,ULBWP.1.2,,ULBWP.1.1,
RLM-RS,,1,CSI-RS,,N/A,
PDSCH RMC configuration,,1,SR.3.2 TDD,,N/A,
RMSI CORESET RMC configuration,,1,CR.3.1 TDD,,N/A,
Dedicated CORESET RMC configuration,,1,CCR.3.1 TDD,,N/A,
TRS configuration,,1,TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI states,,1,TCI.State.2,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,1,120,,120,
OCNG Patterns,,1,OP.5,,N/A,
cellIndividualOffset,dB,1,N/A,,16,
CD-SSB,,1,SSB.1 FR2,,SSB.7 FR2,
Propagation Condition,,1,AWGN,,AWGN,
