Parameter,Unit,Test configuration,Value,Comment
NR RF Channel Number,,"Config 1,2,3","1, 2",Two FR2 NR carrier frequencies is used.
Active cell,,"Config 1,2,3",NR cell 1 (PCell),NR Cell 1 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2,3",NR cell 2,NR cell 2 is on NR RF channel number 2.
Gap Pattern Id,,"Config 1,2,3",13,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2,3",39,
SMTC-SSB parameters,,Config 1,SSB.3 FR2,As specified in clause A.3.10.2
,,Config 2,SSB.11 FR2,
,,Config 3,SSB.12 FR2,
offsetMO,dB,"Config 1,2,3",16,Applied to NR Cell 2 measurement object
A3-Offset,dB,"Config 1,2,3",-11,
Hysteresis,dB,"Config 1,2,3",0,
CP length,,"Config 1,2,3",Normal,
TimeToTrigger,s,"Config 1,2,3",0,
Filter coefficient,,"Config 1,2,3",0,L3 filtering is not used
DRX,,"Config 1,2,3",OFF,DRX is not used
Time offset between serving and neighbour cells,,"Config 1,2,3",3s,Synchronous cells.
T1,s,"Config 1,2,3",5,
T2,s,"Config 1,2,3",7 for PC1; 4.5 for other PC,
