Parameter,Unit,Cell 1,Cell 2,Cell 3,Cell 4
PRS ARFCN,,freq1,freq1,freq2,freq2
Duplex mode,,TDD,,,
TDD configuration,,TDDConf.3.1,,,
BWchannel,MHz,"200: NRB,c = 132",,,
Downlink initial BWP configuration,,DLBWP.0.1,-,-,-
Uplink initial BWP configuration,,ULBWP.0.1,-,-,-
Uplink dedicated BWP configuration,,ULBWP.1.1,-,-,-
TRS configuration,,TRS.2.1 TDD,-,-,-
TCI state,,TCI.State.0,-,-,-
PDSCH Reference measurement channel,,SR.3.1 TDD,-,-,-
RMSI CORESET Reference Channel,,CR.3.1 TDD,-,-,-
Control channel RMC,,CCR.3.1 TDD,-,-,-
OCNG Patterns,,OP.3,,,
SSB configuration,,SSB.3 FR2,,,
SMTC configuration,,SMTC.1,,,
PRS configuration,,PRS.1.2 FR2,,,
PRS Resource slot offset,slot,0,4,0,4
Expected RSTD,s,N/A,3,0,3
Expected RSTD uncertainty,s,N/A,5,0,5
Time offset with Cell 1,s,-,3,0,3
EPRE ratio of PSS to SSS,dB,0,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,
Propagation conditions,,AWGN,,,
Antenna configuration,,1x2,,,
Note 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.,,,,,
