Attribute,Value for BLER,
DCI format,1-0,
Number of control OFDM symbols,2,
Aggregation level (CCE),16 for 1 Rx UE; 8 for 2 Rx UE,
Ratio of hypothetical PDCCH RE energy to average SSS RE energy,0 dB,
Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,0 dB,
Bandwidth (PRBs),48 for 1 Rx UE; 24 for 2 Rx UE,
Sub-carrier spacing (kHz),Same as the SCS of RMSI CORESET,
DMRS precoder granularity,REG bundle size,
REG bundle size,6,
CP length,Normal,
Mapping from REG to CCE,Distributed,
NOTE 1:SCS=60 kHz is not applicable for FR1,,
