Attribute,Value for BLER Configuration #0,,
Channel BW,3 MHz,,5 MHz
[DL Transmission BW],12 PRBs,15 PRBs,20 PRBs
DCI format,1-0,,
Number of control OFDM symbols,2,3,3
Aggregation level (CCE),4,8,8
Ratio of hypothetical PDCCH RE energy to average SSS RE energy,4 dB,,
Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,4 dB,,
Bandwidth (PRBs),12,15,20
Sub-carrier spacing (kHz),SCS of the active DL BWP,,
DMRS precoder granularity,REG bundle size,,
REG bundle size,6,,
CP length,Normal,,
Mapping from REG to CCE,Distributed,Non-DistributedNote 1,Distributed
"NOTE 1:For 15 PRB Transmission BW, distributed mapping may lead to unexpected out-of-sync indication.",,,
