Attribute,Value for BLER Configuration #0,
DCI payload size,1-0,
Number of control OFDM symbols,2,
Aggregation level (CCE),8; for RedCap UE with 1Rx branch.4; for RedCap UE with 2Rx branches.,
Ratio of hypothetical PDCCH RE energy to average CSI-RS RE energy,0 dB,
Ratio of hypothetical PDCCH DMRS energy to average CSI-RS RE energy,0 dB,
Bandwidth (PRBs),48,
Sub-carrier spacing (kHz),SCS of the active DL BWP,
DMRS precoder granularity,REG bundle size,
REG bundle size,6,
CP length,Normal,
Mapping from REG to CCE,Distributed,
NOTE:SCS = 60kHz is not applicable for FR1.,,
