Attribute,Value for BLER Configuration #0,,
Channel BW,3 MHz,,5 MHz
[DL Transmission BW],12 PRBs,15 PRBs,20 PRBs
DCI format,1-0,,
Number of control OFDM symbols,2,3,3
Aggregation level (CCE),2,4,4
Ratio of hypothetical PDCCH RE energy to average SSS RE energy,0 dB,,
Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,0 dB,,
Bandwidth (PRBs),12,15,20
Sub-carrier spacing (kHz),SCS of the active DL BWP,,
DMRS precoder granularity,REG bundle size,,
REG bundle size,6,,
CP length,Normal,,
Mapping from REG to CCE,Distributed,Non-Distributed,Distributed
