PRACH configurationIndex,PreambleFormat,DensityPer 10 ms,Version,PRACH configurationIndex,PreambleFormat,DensityPer 10 ms,Version
0,0,0.5,0,32,2,0.5,2
1,0,0.5,1,33,2,1,0
2,0,0.5,2,34,2,1,1
3,0,1,0,35,2,2,0
4,0,1,1,36,2,3,0
5,0,1,2,37,2,4,0
6,0,2,0,38,2,5,0
7,0,2,1,39,2,6,0
8,0,2,2,40,3,0.5,0
9,0,3,0,41,3,0.5,1
10,0,3,1,42,3,0.5,2
11,0,3,2,43,3,1,0
12,0,4,0,44,3,1,1
13,0,4,1,45,3,2,0
14,0,4,2,46,3,3,0
15,0,5,0,47,3,4,0
16,0,5,1,48,4,0.5,0
17,0,5,2,49,4,0.5,1
18,0,6,0,50,4,0.5,2
19,0,6,1,51,4,1,0
20,1,0.5,0,52,4,1,1
21,1,0.5,1,53,4,2,0
22,1,0.5,2,54,4,3,0
23,1,1,0,55,4,4,0
24,1,1,1,56,4,5,0
25,1,2,0,57,4,6,0
26,1,3,0,58,N/A,N/A,N/A
27,1,4,0,59,N/A,N/A,N/A
28,1,5,0,60,N/A,N/A,N/A
29,1,6,0,61,N/A,N/A,N/A
30,2,0.5,0,62,N/A,N/A,N/A
31,2,0.5,1,63,N/A,N/A,N/A
