PRACH ConfigurationIndex,PreambleFormat,System frame number,Subframe number,PRACH ConfigurationIndex,PreambleFormat,System frame number,Subframe number
0,0,Even,1,32,2,Even,1
1,0,Even,4,33,2,Even,4
2,0,Even,7,34,2,Even,7
3,0,Any,1,35,2,Any,1
4,0,Any,4,36,2,Any,4
5,0,Any,7,37,2,Any,7
6,0,Any,"1, 6",38,2,Any,"1, 6"
7,0,Any,"2 ,7",39,2,Any,"2 ,7"
8,0,Any,"3, 8",40,2,Any,"3, 8"
9,0,Any,"1, 4, 7",41,2,Any,"1, 4, 7"
10,0,Any,"2, 5, 8",42,2,Any,"2, 5, 8"
11,0,Any,"3, 6, 9",43,2,Any,"3, 6, 9"
12,0,Any,"0, 2, 4, 6, 8",44,2,Any,"0, 2, 4, 6, 8"
13,0,Any,"1, 3, 5, 7, 9",45,2,Any,"1, 3, 5, 7, 9"
14,0,Any,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9",46,N/A,N/A,N/A
15,0,Even,9,47,2,Even,9
16,1,Even,1,48,3,Even,1
17,1,Even,4,49,3,Even,4
18,1,Even,7,50,3,Even,7
19,1,Any,1,51,3,Any,1
20,1,Any,4,52,3,Any,4
21,1,Any,7,53,3,Any,7
22,1,Any,"1, 6",54,3,Any,"1, 6"
23,1,Any,"2 ,7",55,3,Any,"2 ,7"
24,1,Any,"3, 8",56,3,Any,"3, 8"
25,1,Any,"1, 4, 7",57,3,Any,"1, 4, 7"
26,1,Any,"2, 5, 8",58,3,Any,"2, 5, 8"
27,1,Any,"3, 6, 9",59,3,Any,"3, 6, 9"
28,1,Any,"0, 2, 4, 6, 8",60,N/A,N/A,N/A
29,1,Any,"1, 3, 5, 7, 9",61,N/A,N/A,N/A
30,N/A,N/A,N/A,62,N/A,N/A,N/A
31,1,Even,9,63,3,Even,9
