PRACH configuration Index(See Table 5.7.1-3),UL/DL configuration (See Table 4.2-2),,,,,,
,0,1,2,3,4,5,6
0,"(0,1,0,2)","(0,1,0,1)","(0,1,0,0)","(0,1,0,2)","(0,1,0,1)","(0,1,0,0)","(0,1,0,2)"
1,"(0,2,0,2)","(0,2,0,1)","(0,2,0,0)","(0,2,0,2)","(0,2,0,1)","(0,2,0,0)","(0,2,0,2)"
2,"(0,1,1,2)","(0,1,1,1)","(0,1,1,0)","(0,1,0,1)","(0,1,0,0)",N/A,"(0,1,1,1)"
3,"(0,0,0,2)","(0,0,0,1)","(0,0,0,0)","(0,0,0,2)","(0,0,0,1)","(0,0,0,0)","(0,0,0,2)"
4,"(0,0,1,2)","(0,0,1,1)","(0,0,1,0)","(0,0,0,1)","(0,0,0,0)",N/A,"(0,0,1,1)"
5,"(0,0,0,1)","(0,0,0,0)",N/A,"(0,0,0,0)",N/A,N/A,"(0,0,0,1)"
6,"(0,0,0,2)(0,0,1,2)","(0,0,0,1)(0,0,1,1)","(0,0,0,0)(0,0,1,0)","(0,0,0,1)(0,0,0,2)","(0,0,0,0)(0,0,0,1)","(0,0,0,0)(1,0,0,0)","(0,0,0,2)(0,0,1,1)"
7,"(0,0,0,1)(0,0,1,1)","(0,0,0,0)(0,0,1,0)",N/A,"(0,0,0,0)(0,0,0,2)",N/A,N/A,"(0,0,0,1)(0,0,1,0)"
8,"(0,0,0,0)(0,0,1,0)",N/A,N/A,"(0,0,0,0)(0,0,0,1)",N/A,N/A,"(0,0,0,0)(0,0,1,1)"
9,"(0,0,0,1)(0,0,0,2)(0,0,1,2)","(0,0,0,0)(0,0,0,1)(0,0,1,1)","(0,0,0,0)(0,0,1,0)(1,0,0,0)","(0,0,0,0)(0,0,0,1)(0,0,0,2)","(0,0,0,0)(0,0,0,1)(1,0,0,1)","(0,0,0,0)(1,0,0,0)(2,0,0,0)","(0,0,0,1)(0,0,0,2)(0,0,1,1)"
10,"(0,0,0,0)(0,0,1,0) (0,0,1,1)","(0,0,0,1)(0,0,1,0) (0,0,1,1)","(0,0,0,0)(0,0,1,0) (1,0,1,0)",N/A,"(0,0,0,0)(0,0,0,1)(1,0,0,0)",N/A,"(0,0,0,0)(0,0,0,2)(0,0,1,0)"
11,N/A,"(0,0,0,0) (0,0,0,1)(0,0,1,0)",N/A,N/A,N/A,N/A,"(0,0,0,1)(0,0,1,0)(0,0,1,1)"
