Parameter,Config,Unit,Value
SSB ARFCN,1~4,,freq1
Duplex mode,1,,FDD
,2,,TDD
,3,,TDD
,4,,HD-FDD
TDD Configuration,"1,4",,N/A
,2,,TDDConf.1.1
,3,,TDDConf.2.1
BWchannel,"1,4",MHz,"10: NPRB,c = 52"
,2,,"10: NPRB,c = 52"
,3,,"20: NPRB,c = 51"
PDSCH Reference measurement channel,"1,4",,SR.1.1 FDD
,2,,SR.1.1 TDD
,3,,SR.2.1 TDD
RMSI CORESET Reference Channel,"1,4",,CR.1.1 FDD
,2,,CR.1.1 TDD
,3,,CR.2.1 TDD
Dedicated CORESET Reference Channel,"1,4",,CCR.1.1 FDD
,2,,CCR.1.1 TDD
,3,,CCR.2.1 TDD
SSB configuration,"1,4",,SSB.3 FR1
,2,,SSB.3 FR1
,3,,SSB.2 RedCap FR1
OCNG Patterns,1~4,,OP.1
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~4,,DLBWP.1.1ULBWP.1.1
SMTC configuration,1~4,,SMTC.1 RedCap
TRS Configuration,"1,4",,TRS.1.1 FDD
,2,,TRS.1.1 TDD
,3,,TRS.1.2 TDD
DRX configuration,1~4,,Off
reportConfigType,1~4,,periodic
reportQuantity,1~4,,ssb-Index-RSRP
Number of reported RS,1~4,,2
L1-RSRP reporting period,1~4,slot,80
T1,1~4,s,5
T2,1~4,s,1
EPRE ratio of PSS to SSS,1~4,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
Propagation condition,1~4,,AWGN
Antenna Configuration,,,1x1
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
