Parameter,Unit,Test configuration,Test 1,,Test 2,
,,,Cell 1,Cell 2,Cell 1,Cell 2
RF Channel Number,,"1,2,3,4",1,1,1,1
Measurement gap,,"1,2,3,4",GP#24 or GP#0 Note 4,,GP#24 or GP#0 Note 4,
DRX,,"1,2,3,4",OFF,,OFF,
Time offset with Cell 1,s,"1, 2, 3, 4",N/A,3,N/A,3
TDD configuration,,"1, 4",N/A,N/A,N/A,N/A
,,2,TDDConf.1.1,TDDConf.1.1,TDDConf.1.1,TDDConf.1.1
,,3,TDDConf.2.1,TDDConf.2.1,TDDConf.2.1,TDDConf.2.1
PDSCH RMC configuration,,"1, 4",SR.1.1 FDD,N/A,SR.1.1 FDD,N/A
,,2,SR.1.1 TDD,,SR.1.1 TDD,
,,3,SR.2.1 TDD,,SR.2.1 TDD,
RMSI CORESET RMC configuration,,"1, 4",CR.1.1 FDD,N/A,CR.1.1 FDD,N/A
,,2,CR.1.1 TDD,,CR.1.1 TDD,
,,3,CR.2.1 TDD,,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,"1, 4",CCR.1.1 FDD,N/A,CCR.1.1 FDD,N/A
,,2,CCR.1.1 TDD,,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,,CCR.2.1 TDD,
OCNG Patterns,,"1, 2, 3, 4",OP.1,OP.1,OP.1,OP.1
EPRE ratio of PSS to SSS,dB,"1, 2, 3, 4",0,0,0,0
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,
EPRE ratio of PRS to SSS,,,,,,
TRS Configuration,,"1, 4",TRS.1.1 FDD,N/A,TRS.1.1 FDD,N/A
,,2,TRS.1.1 TDD,,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,,TRS.1.2 TDD,
Initial BWP configuration,,"1, 2, 3, 4",DLBWP.0.1 ULBWP.0.1,N/A,DLBWP.0.1 ULBWP.0.1,N/A
Active DL BWP configuration,,"1, 2, 3, 4",DLBWP.1.1,N/A,DLBWP.1.1,N/A
Active UL BWP configuration,,"1, 2, 3, 4",ULBWP.1.1,N/A,ULBWP.1.1,N/A
PRS configuration,,"1, 4",PRS.1.5 FR1,PRS.1.5 FR1,PRS.1.5 FR1,PRS.1.5 FR1
,,2,PRS.1.5 FR1,PRS.1.5 FR1,PRS.1.5 FR1,PRS.1.5 FR1
,,3,PRS.2.6 FR1,PRS.2.6 FR1,PRS.2.6 FR1,PRS.2.6 FR1
PRS Resource slot offset,slot,"1, 2, 3, 4",0,4,0,4
SRS configuration,,"1, 4",POS-SRS.1,N/A,POS-SRS.1,N/A
,,2,POS-SRS.1,N/A,POS-SRS.1,N/A
,,3,POS-SRS.2,N/A,POS-SRS.2,N/A
Note 2,dBm/SCS,1,-98,,-98,
,,2,-98,,-98,
,,3,-95,,-95,
,,4,-98,,-98,
Note 2,dBm/15 kHz,1,-98,,-98,
,,2,,,,
,,3,,,,
,,4,,,,
PRS,dB,1,-2.41,-12.12,-2.41,-12.12
,,2,,,,
,,3,,,,
,,4,,,,
PRS,dB,1,-2,-10,-2,-10
,,2,,,,
,,3,,,,
,,4,,,,
PRP Note 3,dBm/SCS,1,-100,-108,-100,-108
,,2,-100,-108,-100,-108
,,3,-97,-105,-97,-105
,,4,-100,-108,-100,-108
Io,dBm/48.6MHz,1,-60.51,-60.51,-60.51,-60.51
,dBm/48.6MHz,2,-60.51,-60.51,-60.51,-60.51
,dBm/98.28MHz,3,-57.46,-57.46,-57.46,-57.46
,dBm/48.6MHz,4,-60.51,-60.51,-60.51,-60.51
Propagation Condition,,"1, 2, 3, 4",AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:GP#24 is configured if UE supports MG#24, otherwise GP#0 is configured.",,,,,,
