Parameter,,Unit,Config,Cell 1,,Cell 2,
,,,,T1,T2,T1,T2
Assumption for UE beamsNote 6,,,"1,2,3",Rough,,Rough,
AoA setup,,,"1,2,3",Setup 1 as defined in A.3.15,,,
NR RF Channel Number,,,"1,2,3",1,,1,
PCCA_DL,,,"1,2,3",0.93,,0.93,
PCCA_UL,,,"1,2,3",1,,1,
Duplex mode,,,"1,2,3",TDD,,,
TDD configuration,,,1,TBD,,,
,,,2,TBD,,,
,,,3,TBD,,,
BWchannel,,MHz,1,"100: NPRB,c = 66",,,
,,,2,"400: NPRB,c = 66",,,
,,,3,"400: NPRB,c = 33",,,
Data PRBs allocated,,,1,66,,,
,,,2,66,,,
,,,3,33,,,
DRX Cycle,,ms,"1,2,3",Not Applicable,,,
PDSCH Reference measurement channel,,,1,SR3.1 TDD,,,
,,,2,TBD,,,
,,,3,TBD,,,
RMSI CORESET Reference Channel,,,1,CR3.1 TDD,,,
,,,2,TBD,,,
,,,3,TBD,,,
Control Channel RMC,,,1,CCR.3.1 TDD,,,
,,,2,TBD,,,
,,,3,TBD,,,
OCNG Patterns,,,"1,2,3",O P. 1,,,
SMTC Configuration,,,"1,2,3",SMTC pattern 1,,,
SSB Configuration,,,1,SSB. 3 FR2,,,
,,,2,SSB.13 FR2,,,
,,,3,SSB.14 FR2,,,
PDSCH/PDCCH subcarrier spacing,,kHz,1,120,,,
,,,2,480,,,
,,,3,960,,,
PUCCH/PUSCH subcarrier spacing,,kHz,1,120,,,
,,,2,480,,,
,,,3,960,,,
PRACH configuration,,,"1,2,3",FR2 PRACH configuration 1,,,
TRS configuration,,,1,TRS.2.1 TDD,,,
,,,2,TBD,,,
,,,3,TBD,,,
PDSCH/PDCCH TCI state,,,"1,2,3",TCI.State.2,,,
BWP configuraiton,Initial DL BWP,,"1,2,3",DLBWP.0.1,,,
,Dedicated DL BWP,,"1,2,3",DLBWP.1.1,,,
,Initial UL BWP,,"1,2,3",ULBWP.0.1,,,
,Dedicated UL BWP,,"1,2,3",ULBWP.1.1,,,
EPRE ratio of PSS to SSS,,dB,,0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,
Note2,,dBm/15 kHz,,-104.7,,,
Note2,,dBm/SCS,1,-95.7,,,
,,,2,-89.7,,,
,,,3,-86.7,,,
,,dB,,6,-1.8,-Infinity,0
,,dB,,6,6,-Infinity,7
IoNote3,,dBm/95.04 MHz Note4,,-59.7,-56.7,-59.7,-56.7
,,dBm/380.16 MHz Note4,,-53.7,-50.7,-53.7,-50.7
Propagation condition,,-,,AWGN,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone NOTE 6:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,,
