Parameter,Unit,Test configuration,Cell 1,Cell 2
RF Channel Number,,"1,2,3,4",1,1
BWchannel,MHz,1,"10: NRB,c = 52",
,,2,"10: NRB,c = 52",
,,3,"20: NRB,c = 51",
,,4,"10: NRB,c = 52",
Measurement gap,,"1,2,3,4",GP#24 or GP#0 Note 4,
DRX,,"1,2,3,4",OFF,
Time offset with Cell 1,s,"1,2,3,4",N/A,3
TDD configuration,,"1,4",N/A,N/A
,,2,TDDConf.1.1,TDDConf.1.1
,,3,TDDConf.2.1,TDDConf.2.1
PDSCH RMC configuration,,"1,4",SR.1.1 FDD,N/A
,,2,SR.1.1 TDD,
,,3,SR.2.1 TDD,
RMSI CORESET RMC configuration,,"1,4",CR.1.1 FDD,N/A
,,2,CR.1.1 TDD,
,,3,CR.2.1 TDD,
Dedicated CORESET RMC configuration,,"1,4",CCR.1.1 FDD,N/A
,,2,CCR.1.1 TDD,
,,3,CCR.2.1 TDD,
OCNG Patterns,,"1,2,3,4",OP.1,OP.1
EPRE ratio of PSS to SSS,dB,"1,2,3,4",0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
EPRE ratio of PRS to SSS,,,,
TRS Configuration,,"1,4",TRS.1.1 FDD,N/A
,,2,TRS.1.1 TDD,
,,3,TRS.1.2 TDD,
Initial BWP configuration,,"1,2,3,4",DLBWP.0.1 ULBWP.0.1,N/A
Active DL BWP configuration,,"1,2,3,4",DLBWP.1.1 RedCap,N/A
Active UL BWP configuration,,"1,2,3,4",ULBWP.1.1 RedCap,N/A
PRS configuration,,"1,4",PRS.1.1 FR1,PRS.1.1 FR1
,,2,PRS.1.1 FR1,PRS.1.1 FR1
,,3,PRS.2.1 FR1,PRS.2.1 FR1
PRS Resource slot offset,slot,"1,2,3,4",0,4
SRS configuration,,"1,4",POS-SRS.1,N/A
,,2,POS-SRS.1,N/A
,,3,POS-SRS.2,N/A
Note 2Noc,dBm/SCS,"1,4",-98,
,,2,-98,
,,3,-95,
PRS EsIot,dB,"1,2,3,4",-2.41,-12.12
PRS EsNoc,dB,"1,2,3,4",-2,-10
PRP Note 3,dBm/SCS kHz,"1,4",-100,-108
,,2,-100,-108
,,3,-97,-105
Io,dBm/9.36 MHz,"1,4",-67.67,-67.67
,dBm/9.36 MHz,2,-67.67,-67.67
,dBm/18.36MHz,3,-64.75,-64.75
Propagation Condition,,"1,2,3,4",AWGN,
"NOTE 1:OCNG shall be used such that active cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols other than those in the subframes with transmitted PRS.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:PRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:The test configuration excludes support for band n51 and it is not required to run this test on band n51 in this release of the specification.NOTE 5:GP#24 is configured if UE supports MG#24, otherwise GP#0 is configured.",,,,
